pizzadaze	Oh no! Not the "bro code"!!! @ETCanada #sarcasm #iggydeservesbetter
RoseLeon111	RT @JosephRDelgado: But... I thought Trump wrote the book on Negotiation. There's a diff between biz and foreign politics??? #sarcasm http…
cunninghammeli1	RT @JeanetteJing: Seems like an appropriate response to mention of Libyan involvement in the U.S. torture program. #sarcasm https://t.co/V…
asphodelscript	Another tantou? Another Toushirou? I'm so glad NitroPlus and DMM listens like Bungie #sarcasm
mhikaric	In case you were worried S6 of the ever puritanical GoT would be lacking in girl-on-girl action, fear not. #sarcasm https://twitter.com/GameOfThrones/status/719555763597746176
ALICEBUZZARD	absolutely LOVE seeing dead horses all over my fb timeline #not #sarcasm #whoamifriendswith 😒😒😒
KamioSparkle	@KEEMSTAR naw. I'm so sure it was you. Obviously, that would make sense. #sarcasm ❤️
MrsP2806	@Boudicablues me too. Still working. I have a night of cashflow variances ahead of me! Whoop! 🤗 #sarcasm
MMinSC	Hey @sweide, can you believe a photog would set up to get this shot? Unbelievable! #sarcasm http://twitter.com/MMinSC/status/719597344447164416/photo/1
maurabarnes	RT @OldFolks4Bernie: And H is his homegirl. Big shocker there #sarcasm https://twitter.com/LiberalLaTchr/status/719573596406956036
lezavargas	@Trump_UrTweet #sarcasm democracy used to mean every vote counted
officialOUAT	Me when Adam gets all sarcastic with fans on Twitter...#sorrynotsorry #sarcasm #notfunny http://twitter.com/officialOUAT/status/719637758059376640/photo/1
OtagoGrad	Of course our earth is tipping We need to re-balance it #sarcasm #FlatEarthSociety https://twitter.com/IdontbelieveinC/status/719610253273391104
DiegoKruznick	That girl smiled at me and talked to me nicely, she wants it all with me. 😆😎 (no man on earth ever) #men #phrases #sarcasm
Li_Li78	Just about sums me up #sarcasm http://twitter.com/Li_Li78/status/719645084740882432/photo/1
Nahkaprinssi	RT @Harmaakorva: I'm so lonely on this clan chat. :'( Kappa @OldSchoolRS @JagexArchie #Osrs #ironman #sarcasm http://twitter.com/Harmaakorva/status/719644262523084801/photo/1
pressin4secessn	What??? Wow, am I surprised @seanhannity would give Trump so much free media. Can this be true? #sarcasm #NeverTrump https://twitter.com/FoxNews/status/719259161209348096
OhioSportsNet	@ChrisFedor aren't the Cavs known for defense? #sarcasm
FrankieAndolini	Dr. Phil on RAW?? Wow! @wwe really has their finger on the pulse of their audience!! #sarcasm #RAW
berbzee1	I loveeeeeee waiting at work until 9:30 for an emergency that doesn't show up. #sarcasm
_eesojlvc	Yuuuppp I'm surrounded by friends all the time. #sarcasm
BizballMaury	Nice. #sarcasm https://twitter.com/ericopperman/status/719739736173211648
OfficialElSam	I'm REALLY looking forward to today, especially the walking and transportation across the whole of Birmingham part! #sarcasm #NeedACar
ReikaRonie	I've met this afternoon but it's raining, YAY #sarcasm
Gen_Ago	RT @frkmgnt1: @MMFlint @4AllSoulKind That's because Wyoming is right next to VT so it doesn't count #sarcasm #WhisperOfADream https://t.co/…
RMZFarrell	So glad my toddler chose this particular week to start acting like a total jagoff #parenting #sarcasm
atlantabike	Doesn't this just make you want to spring out of bed into your car? #sarcasm #atlantatraffic #transportationoptions https://twitter.com/atlantatraffic/status/719862832343289856
trayNTP	..if she REALLY opposes it. I mean, why wouldn't she? She hates it ANYWAY, right? #sarcasm #NYPrimary @BernieSanders https://twitter.com/crooksandliars/status/719862056804052992
simpsonjade	oh, I don't think anyone understands my excitement! #causeimthefuestpersonevertobuyahome #sarcasm #dontcarecausehappy
DrMShapiroGA	RT @atlantabike: Doesn't this just make you want to spring out of bed into your car? #sarcasm #atlantatraffic #transportationoptions https:…
TrumanLKingIV	1/3 interfaces live and it's 20 hours from go-live. I'm not cutting it close at all #sarcasm #implementations. We are still going live tho
bazilli	Nothing makes me want to give to @UVA more than 2-3 emails per hour all day! #sarcasm #maketheemailsstop
ExcuseToTweet	Have you got the #sarcasm and #dryhumor to back up a tattoo like that? https://twitter.com/jeff_gunderson/status/719701835288682496
BARONNEdeKONGO	Hahahahaha i thought i read myself #busylife #busyallthetime #sarcasm #funny #instaquote… https://www.instagram.com/p/BEHGHWWxe-W/
Red63863271	RT @rheyduck: #Stereotypes eliminate the whole need for the messy work of #thinking or talking to people! #Wiley_RYS16 #sarcasm https://t.c…
DarkKingZoro	@1981SawDust @PLewbel @Politicon @rtv6 The next time you feel the need to share your mind. Please, do not hesitate. #sarcasm
StevenHorsfall	Do I have to switch the wifi off on my phone, if I want to watch the City game on #BTSport without it breaking up? #sarcasm
MarkThomas021	Forever liking their pictures and never saying anything to them way to go mark lol #sarcasm
Deckard717	IMF slashes SA growth forecast http://bit.ly/1SxvrcI Thank you #Zuma #sarcasm #southafrica #anc
frkmgnt1	@GentleSeaBass this is just more class warfare based in envy of all their wealth! They're oppressed! #sarcasm
jwildeboer	Hahahaha! They totally forgot that @Snowden thing, I guess. So yesteryear. #sarcasm https://twitter.com/bbhorne/status/719781010263642112
addictress06	@kpopunpopular omg. I bet gdragon is scared af. Liar and haruharu w/c he made 2-3yrs from BB debut is shit compared to bts. #sarcasm 😂😂😂
7_RLewis	@bitterRedsfan If only the Reds had traded for or drafted. What were they thinking. #sarcasm
SapioSpiritual	@CECHR_UoD wow, who could've predicted that?? #sarcasm
JBoogie1331	The best relationship advice comes from your single friends #sarcasm?
grifmon	@PatMcCroryNC So far #HB2 is really paying off. #sarcasm #Redhat #DeutscheBank #Paypal #BruceSpringsteen and on and on. #NBA ?
agreamelia	haven't seen women in revealing outfits so far...hm but then how did this song ever get popular? #sarcasm #music269
WhatElisabeth	Because people of other races and genders deserve more money for the work they do over Hispanics ya know I'm just not worth it #sarcasm
VictoriousWare	I love the smell of insulin! #sarcasm
axdreea10_	I think monekys don't evolve anymore because Earth is overpopulated #sarcasm https://twitter.com/Mmeutia/status/720113892064673795
shenoyhganesh	actually, they are being cautious and care about their safety on roads you see! #sarcasm https://twitter.com/TheBakarFactory/status/720190839910084609
EllaWasHereblog	SERIOUSLY, omg what a scandal! Who even does that, ieewww hold hands. Throw them in jail! Disgusting! #sarcasm http://twitter.com/EllaWasHereblog/status/720203502279114752/photo/1
ChrisScheetz	My computer just performed a "crash dump". Could this be a good thing? #sarcasm http://twitter.com/ChrisScheetz/status/720209406730735617/photo/1
girlgonegrad	Between my hair and my mood this day is going to be glorious. #sarcasm #GradSchoolProblems
themaggiedevine	You can carry on however you want but it's unacceptable for anyone else to do the same??#nicelogic #sarcasm
rjn79123	Wow, after the cold greasy nachos the trio of ice cream sure makes up for it @allbarone #sarcasm #3mouthfuls http://twitter.com/rjn79123/status/720304348903927808/photo/1
Goody_10	RT @niravmaniar91: Have you been warned against the dangers of failing to "fire" your glutes? See below for consequences. #sarcasm https://…
Lisaley	@briantaff6abc He just oozes class doesn't he? #sarcasm
timmo_buffalo	@KySportsRadio @DanWolken - @universityofky better not participate in the celebration when Tubby is inducted in the hall of fame #sarcasm
NotPanarin72	@MarkLazerus it's really raucous at Scottrade. Can you hear yourself think?? #sarcasm
Sun_e_strokes	@ashokshetty1970 @madhukishwar how intelligent a reply #sarcasm alert.
the_wraith99	@telstra continues to excel itself in sheer incompetence. Good job. #telstra #sarcasm #shitjob #incompetent.
diegoemme	Not bad for a would be world power. #sarcasm https://twitter.com/MilanV/status/720445602459353088
melaniietweets	Oh I just love it when I try to top up my brown hair dye from home and it turns out jet black. #sarcasm EVERY TIME though lol. Feck!
ChristosMatskas	@andygambles lol, you mean you don't know? #fail #sarcasm
michaelj3232343	#Cannes2016 Featuring Batman v Superman - the best movie ever #sarcasm
Smiles_Brewses	@dunkindonuts Um, I believe I asked for the large...#sarcasm #icedvanillamacchiato… https://www.instagram.com/p/BELm2pYr218/
_Grimsley	Go to amazon and read those "amazing" #sarcasm reviews on this CE guide.(Should have let Future Press do this) https://twitter.com/primagames/status/720602356036071424
cockaroach76	@WUZ1045 Goodell had nothing to do with that trade. #LARams having the #1 pick has zero value for #NFL pr. #sarcasm
KeepThingsPG	RT @joe_cabal: I may be changing my vote to #cthulhuforpresident2016 Um, Hail @cthulhu4america #sarcasm #humor #CthulhuCthursday https://t.…
tyner_aaron	I can't wait until the Balkanization of Europe occurs here. #sarcasm #stupidgamesstupidprizes https://twitter.com/politicsinmemes/status/720663494241161216
rahuldatt11071	#sarcasm #Gurgaon #Gurugram what a transformation? http://twitter.com/rahuldatt11071/status/720676045473624064/photo/1
alex_warlllow	RT @melaniietweets: Oh I just love it when I try to top up my brown hair dye from home and it turns out jet black. #sarcasm EVERY TIME t…
nj1015	#sarcasm vs. #Conservatism : Vote for the @DennisandJudi LMAO Call of the Week now! http://nj1015.com/sarcasm-vs-conservatism-vote-for-djs-lmao-call-of-the-week/
brycedininger	@WhitlockJason @Rosenbergradio @718Mayhem he was fraudulent at Warren Central #sarcasm
JustonethingDM	Yes!!! She's perfectly cast in this role. .... #sarcasm #BoycottParamount https://twitter.com/mrpaulbae/status/720640985139548160
BoxofCubs	That catch reminds me how terrible a CF @DexterFowler is. #cubs #sarcasm
dmunsie	I mean, it’s probably pretty hard to find Asian actors to play the role, right? #sarcasm https://twitter.com/joshuafoust/status/720661596612214785
pamelarae32	Hey, it's ONLY $300,000 per trip! #relax #sarcasm #illegals https://twitter.com/drudge_report/status/720795166672486400
Rossss67	WHO EVER DISAGREES WITH ME ARE PEDOPHILES!1!! #KEEMSTARx #KeemStarLogic #DramaAlert #sarcasm
varunpuru9	#HappyRamNavami May Communal fasict forces always make us proud. And secular forces pee in pants :) #sarcasm
Rareity	You know what auto correct! You sneaky little monster. You need a hobby #sarcasm #humor #laughing 😂
WRthelistener	RT @ChuckChalk: I can't help that I was gifted with naturally skinny legs. Don't hate. #true #sarcasm @SwoleUniversity #legday
2018NZASM	@DuncanGarnerNZ @RadioLIVENZ They must have really proved their point with that behavior. #sarcasm
LaMonicaBuzz	Writing about tax prep stocks today for taxcrastinators. Whats this? Liberty Tax is not actually a John Malone tracking stock? #sarcasm $TAX
TylerSelby1	I have too many free credits so I have to find a 2nd minor because finding my first one was so easy #sarcasm
WeAreLeeds1919	RT @LeedsFanz: Twitter desperately needs a sarcasm emoticon @Twitter #lufc #sarcasm http://twitter.com/LeedsFanz/status/721039939484393472/photo/1
Superius777	@ABC A troupe of faggots not coming to NC? Because of moral views? How progressive! #sarcasm
savila2015	@azgfd UGH! Look at how disgusting they are when alive Better to shoot, stuff and hang in someone's office #sarcasm http://twitter.com/savila2015/status/721076269396262912/photo/1
mcgare_bear	RT @mamamcgare: Thanks @EdinaMN for starting all road projects in the city at the same time #strategic #sarcasm
AceOfTheSaints	@JaKing__ @MickD_ @MrsAnahata great input, very well thought out, that statement changed the lives of many #sarcasm
Kylee__Ann	RT @PrincessProbz: Your unique flower crown is guaranteed to see you apart at #Coachella #sarcasm
mrsgreenyer	Oh, so when your foot comes off the bag you're still called safe? Well that's confusing. #sarcasm #comeon #bluejays
_KatherineClark	RT @PrincessProbz: Your unique flower crown is guaranteed to see you apart at #Coachella #sarcasm
GreysAnatoShamy	RT @callie_holly: Callie leaves an Angel to be with a demon.. @shondarhimes BRAVO 👏👏👏 #sarcasm #calzonastrong 👺 http://twitter.com/callie_holly/status/720957061908021249/photo/1
MalibuGifts	The Only Running I do Is LATE http://etsy.me/1DSYxx9 @Etsy #lol #fun #funny #sarcasm #late http://ow.ly/4mJlrm
Heyrman17	RT @MeltdownWRIF: Great no-call. #sarcasm https://twitter.com/stefankubus/status/721140220096290816
rharris415	Hungry hungry hippo is a kids game. And there is a popular break up email about being chased by a hippo. #sarcasm https://twitter.com/zencachola/status/721101144395632640
TheOGBJPheasant	I foresee these changes being implemented smoothly and without controversy. #FIFA #sarcasm https://twitter.com/Zonal_Marking/status/720506519666696194
noTURNingBACH	RT @juliaasuzanne: looove to lay around and watch tv all night... #sarcasm
RelFreedom4All	RT @marriotthill: I'm sure this will be a tough interview! #sarcasm https://twitter.com/timfunk/status/721039795594498048
ruchirca	There is a constant fight of #Gyan with #sarcasm on @twitter.
MaggieMaeOS	Hello insomnia, my old pal. So glad you're back. Gee, i had almost a month of sleeping through the night w/o you here. #sarcasm #Insomnia
Valhyre	what a thrilling qualy so far! #ChineseGP #F1 #sarcasm #zzz
Lopek	Yeah that was worth the delay. #sarcasm #F1 #SkyF1
DarkMatterEDM	@dahboo7 @simonhunter70 Thank goodness US banks on #WallStreet are honest & care about their customers. 😇 😇 Crooked #EU bankers. #sarcasm
RatedR_ori	Oh boy, there's nothing better than an exam on the weekend! #sarcasm
PibbleRacing	@smac20000 @AC360 @andersoncooper I know! #sarcasm
Ar_MDG	Can this day get any better? Happy birthday to me! 😕 #sarcasm #lol #happyweekend
Tobinator44	High Point Furniture Market loses 15 million thanks to #HB2 Excellent job @PatMcCroryNC #sarcasm
ADillon402	Idk about you guys but if we lose this one I think Riley's gotta go #sarcasm
michaelskaggs45	RT @lybr3: So ppl could choose to live in a place closer to their values. Umm, I think its called 'laboratories of democracy!' #sarcasm @Sh…
JoelsFTW	All hail the mighty dragon Lord #MLPSeason6 #MLPFiM #sarcasm
daniellelisa87	It's hilarious when girls post Roar by Katy Perry on fb after a breakup. U go girlfriend. #sarcasm #slowclap
michaelj3232343	The Raptors have changed from Dinosaurs to Barney from the Regular Season to the Playoffs #NBAPlayoffs #sarcasm
jamilyn_	RT @kileyrides: Love how when the lightning make playoffs all the bandwagon fans come out of the woodworks 💙💙⚡️⚡️ #sarcasm
Russell_Palf	@jamiecox1969 @stkildafc the umpiring in the last quarter was fantastic too #not #sarcasm
GrouchyColitis	I took pain medicine & yet Im still annoyed #chronicpain #diabetes #crohns #colitis #sarcasm #humor #IBS #backpain
Stumpchunkman	@AniMiaOfficial Sounds like you're having a blast there. #sarcasm
SidecastrPicks	RT @unfiltereddad: Oh I get it, Julia Louis Dreyfus hates Larry David. #SNL #sarcasm
tanujrohatgi	RT @rasik210: #gaurs_manojgaur_ruined_crossingrepublik_gh7 @gaursons_india Thank you for providing water at least #sarcasm https://t.co/wl…
dpoe92	@AlyceKitten oh noo... a model who has a life outside of the site. How shocking #sarcasm
DanLougheed	I totally understand the appeal of EDM #sarcasm
DarthWhipple	Ugh yes @NewYorker,it can &will B,coming out of summer in nasty 3rd wrld #SouthAfrica (#sarcasm) & we're all still just fine #sensationalism
NatAghajanian	RT @omgitslozzab: Fucking love my neighbours #sarcasm #letusparty
zero8192	@pewdiepie I'd soo fap to that #sarcasm
theonlydny	things my gf says to me... #sarcasm #throwback #childhoodmeme #golddigger #money #women #gf #dating #relationships http://twitter.com/theonlydny/status/721680764505460736/photo/1
EskandarSadeghi	Clearly all above board, transparent and legit #sarcasm https://twitter.com/davidkenner/status/721681703182315520
rajnichopra7	Sarcasm: Witty when I do it; inappropriate otherwise. #SarcasmStation #dictionary #sarcasm #hint #tips http://twitter.com/rajnichopra7/status/721689808108724224/photo/1
rainberryzooms	@longy11 Didn't have you down as a Rangers fan. #sarcasm
michaelj3232343	http://www.thebeaverton.com/world/item/2615-pope-francis-admits-he-meant-to-invite-larry-david-not-bernie-sanders-to-vatican Larry David for President #sarcasm #FeelTheBern #CurbUr2016
michaelj3232343	Bernie Sanders would really like this #sarcasm #onpoli #cdnpoli https://twitter.com/TheBeaverton/status/716705717353193472
michaelj3232343	The Budget will Balance Itself, Mr. Harper, Just Watch Me, Because it's 2015 #sarcasm #cdnpoli https://twitter.com/TheBeaverton/status/712658255730741248
maryemccoy	@We_Love_Bernie That is ridiculous. Did you listen to his message? Misleading bullshit always helps. #sarcasm #bullshit #VoteForChange
juliawhittt	RT @kileyrides: Love how when the lightning make playoffs all the bandwagon fans come out of the woodworks 💙💙⚡️⚡️ #sarcasm
Kroganism	I wonder if my Earth 2 doppelganger is as intuitive, intelligent and incredible as myself. #sarcasm #TheFlash
TonyRBranco	Good job, Reggie! #sarcasm
AlicryTrinkets	RT @PinkSparkle_rev: Great stuff. Have a couple of reviews ready to type up and the computer decides to die. #yippee #sarcasm @AlicryTrinke…
cjfrances	Hmmm NIKE too lazy to come up with original kits...shocking #NoNotReally #sarcasm #NWSL https://twitter.com/jeffkassouf/status/721852970183344128
Vincemcman92	Don't you love long coaches Challenges #nhlplayoffs #sarcasm @WGR550 #Panthers #Islanders #toolong
thevoidbender	Wait a Republican candidate says something insensitive about/to the #LGBTQ community? NO WAY #sarcasm #tytarmy
w0rstnightmare	Well done duterte!. From BBC to CNN. Pinoy pride ba? #sarcasm #NoDU30 http://fb.me/2ck0EdWhX
TiffanyDawn_96	Well these past couple days have been fantastic. I'm going to bed. #sarcasm #thankssomuch
KarmalaNeha	Even though i dont get any from u.. #sarcasm https://twitter.com/BaeFeeling/status/721952672794963969
KHNyctophiliac	@tumblr Hey thanks for crediting me on something I spent hours on :) #sarcasm http://kingdomheartsnyctophiliac.tumblr.com/
QueenLenaC	@conflenti so I gather I won't be going to work today bc of this weather. 😐 I'm so disappointed. #sarcasm
jewelrymandave	Retweeted Treasures Galore (@bbonnie123): #sarcasm http://pinterest.com/pin/311241024229257521/ http://fb.me/88h01PKXe
bbonnie123	RT @jewelrymandave: Retweeted Treasures Galore (@bbonnie123): #sarcasm http://pinterest.com/pin/311241024229257521/ http://fb.me/88h01PKXe
Be4Bernie	Gee I wonder who @charlierose & @NorahODonnell want to be president? #sarcasm #journalismNot
mahootna2	RT @Trish_Corry: Gee don't hold back on those 'tough questions' #Lateline #sarcasm
bex_pix	Well isn't this just lovely? #sarcasm https://twitter.com/GailVazOxlade/status/722070184224108544
ChavoChasen	Shout out @FSMidwest for showing hockey reruns instead of the Munich match. #sarcasm
BlakeHurt	King of fashion. #nofilter #toeshoes #sarcasm https://www.instagram.com/p/BEWS8_RFXXbIKeEHMjyPTw0ZHLAkEsdeKq-SXM0/
Sernett	@christulach From the stories being told around the office this morning, you missed a real high point in our democratic system. #sarcasm
KarapinarB	@MRmpk0303 @EdinPelja @BrianVeilside @SportsCenter switzerland is the wealthiest country of the world. They must love us football #sarcasm
MichaelPeters70	@bbcmtd Did WBA play over the weekend?!!! 🙄🙄 #sarcasm #biased #westbrom #wba #boingboing
Slapwank	Check out more funny #memes at >> http://ow.ly/ZYe1b #sarcasm http://twitter.com/Slapwank/status/722138384618139648/photo/1
mariluna329	RT @JeanetteJing: What shits we are for telling the truth about lying, corruption and warmongering. #sarcasm #HillarySoQualified https://t…
joemcwhinney	RT @JeanetteJing: What shits we are for telling the truth about lying, corruption and warmongering. #sarcasm #HillarySoQualified https://t…
511Guy	(2/2) @Suddenlink @SuddenlinkHelp ask to cancel your service. #sarcasm. I no longer regret that I'll be leaving.
munsonjmj	@ShaunKing @touque42 @aterkel just what I want my president to be associated with! Moving forward into the future not the past! #sarcasm
kmc02	@Realitytea A few more maladjusted millennials we just got to have on tv! #RHOD #bravotv #millennials #BlondeForAReason #sarcasm
RedHeadedFanboy	@CubReporterK @Russell_Sellers Well I do agree it is a sin every time a woman is on screen & no lap dance happens #sarcasm
OneMoreBrian	@AnneBayefsky @AdamBaldwin US got them back. They lodged a formal protest and called the pilots "unprofessional." That'll get 'em #sarcasm
J_Stizzy1124	@DStrehleTFP Any go in the net? #sarcasm
missmolamola	RT @hamsterRelish: Congrats to @nytimes for sticking to its guns & telling us about the hair & shoes of another feminist #sarcasm https://t…
annajollybanana	Me: are you done with Dumplin? RM: yep Me: did you like it? RM: nooo, I hated it. That's why I read it all in 24 hours #sarcasm @andimJULIE
adeolia	RT @rasik210: #gaurs_manojgaur_ruined_crossingrepublik_gh7 @gaursons_india Thank you for providing water at least #sarcasm https://t.co/wl…
CiaraReintjes	Whoever redesigned Rivonia/Witkoppen/N1 intersection is a GENIUS #sarcasm #fail
ShurelyNot	They sound truly contrite. #sarcasm #r4today
kathymaginn	I am not at all jealous that my husband, father & brother were at this @moketheband gig in Den Haag without me #thistweetisalie #sarcasm
Witticisms_R_us	Funny tee shirt, fart jokes, graphic tee, be fearless, gifts under 20, ladi… http://tuppu.net/3106b0a4 #funny #sarcasm http://twitter.com/Witticisms_R_us/status/722352222571368448/photo/1
sleepingdingo	Thank goodness someone is doing intuitive social for Unilever. #sarcasm https://twitter.com/percolate/status/713074753087483904
eggandspooner	Can't wait for the big game against west brom . Gonna be a massive crowd with a loud atmosphere. A lot to play for !! #sarcasm
usamakram	If #DawnIsAntiPakistan on this issue, Put me in that list too.. U looser mafias. #btk #sarcasm http://twitter.com/usamakram/status/722386710781276160/photo/1
LaycockMark	RT @RoncerayDan: Nice fog rolling in, looking forward to Friday's snow and next weekends monsoon. #plant16 #sarcasm http://twitter.com/RoncerayDan/status/722416903495426048/photo/1
__thisandthat__	This is #awesome! http://www.onionstudios.com/videos/its-just-oregon-no-big-deal-3975 #nobiggie #Laughter #stayaway #smile #sarcasm #sarcastic #bestthingiveseen #TravelTuesday
LOLsarcasms	No one will know ☹ #LOL #sarcasm #LOLsarcasm #LOLsarcasms #sarcastic #fun #funny #funnypics #Coolness #Awesome #Co… http://twitter.com/LOLsarcasms/status/722492930016026624/photo/1
CubsCardsCast	Exciting night, #STLCards fans....debut of Ruben Tejada! #sarcasm
malibuquilts	The Only Running I do Is LATE http://etsy.me/1DSYxx9 @Etsy #lol #fun #funny #sarcasm #late http://ow.ly/4mR6gX
DonaldClinton16	#HillaryClinton says she's the most electable candidate even though every poll shows otherwise #tytlive #sarcasm
alex9377	@TheSmokingTire those internet millions you have will pay for it. #sarcasm
wannabehocker	@derekahunter @thehill But it's only a retweet so it's OK! #sarcasm Go Cruz!
minjoo	We totally did not see that coming. #sarcasm https://twitter.com/cnn/status/721127605966082048
petestone76	Wow. Even watching mlbtv on my phone the #Dbacks grey jerseys look great! #sarcasm. #gojays
iain_titan1986	Well played to the Preds fans booing #sarcasm if that's the feeling, don't bother coming back on Thursday night
JennWhiteside	@BillNye You've got to know it's not climate change, it's God punishing us for all the abortions. #sarcasm
GoodBetterBetz	RT @BruceBetz85: The refs in Chicago. #nhlplayoffs #LGB #sarcasm https://twitter.com/SportsCenter/status/722622201619419136
AirIn_AirOut_	Yessssssssssssssss! Always use footnotes for #sarcasm :D https://twitter.com/AcademicsSay/status/721868096840065024
drumcodeuk	RT @ellen__wood: @Se_Railway after my previous complaint I see a wonderful repair job has been done #sarcasm http://twitter.com/ellen__wood/status/722688171344007169/photo/1
katechristelle	I don't mind the 15hrs. RCJ I really don't #sarcasm -______________- butt pain huhu hahaha
racheloneil03	@Gracedbois I guess this means I'm #feelingthebern ?? ( #sarcasm )
eliecohen1400	This car ride is so fun #sarcasm
so_lovely_and_i	Kudos to how the Castle drama is being handled, well done network. #sarcasm
chanaanya	I'm so pleased to see that the NUS think Yik Yak is more of a problem than ISIS. Really got their priorities straight #NUS #sarcasm
proiraqwar	@AnwarShimari @Dubeissi @CJTFOIR plenty of progressive values in Iraq, clearly she knows how to hold the gun, let alone fire it #sarcasm
thecheckster	@buffalopundit let me guess....extremely thoughtful, well-punctuated and in the Queen's English? #sarcasm
englishoak	@anniecross1 They're all shifty but they learn from their mistakes & move forward #sarcasm
IGotThisTrustMe	@mikeo188 @bettingonzero Because buying http://www.bettingonzero.com and making anti-film flyers is better strategy for a legit co. #sarcasm
hawktchr	13 year olds coming to 8th grade high today.Thank you potheads who think destroying young brains is a good idea. #losers #sarcasm #WeedDay
nico_wrestling	Viktor is the new member of the Social Outcasts. WWE is very creative #sarcasm
TNople	@PeterdiPierro @aquart that "punish the unfaithful" comment sounded real level-headed #sarcasm
DrRickBoss	RT @Jay_Carper: Sexual dimorphism is a social construct! Equality! #StandWithScience #sarcasm http://twitter.com/Jay_Carper/status/722913882885337088/photo/1
Ant_McCarthy	Loving the intensity!!!! #isles #sarcasm
KateTheFoona	The guy who stole gold from you is claim jumping? Get out of her....#sarcasm #BeringSeaGold
Layton_Ridgeway	I love you so much it hurts so bad it just doesn't hurt. That actually made sense #sarcasm
hannah_aycock	So happy I have @paige2439 with me at our favoritist job in the whole wide world 🙃🙃🙃🙃🙃 #starbucks #sarcasm
wit_twitt	It's said that #sarcasm is the lowest form of #wit. To that I say "No, really? Hey, somebody give this person a #Nobel #peace #prize!"
SadiaPanjwani	@AmaalMallik i am awake but u dun see my tweets na 😒😒🙈🙈 #sarcasm
YxxngHippie	Oh there it is- the good ole freeze peach argument 🍑🍑🍑 #nusconference #nusnc16 #sarcasm
ImaLittleBrito	@SmargJones I know right? Isn't the end of the world that a black person is being put on a place of honor?? #sarcasm..
aiden_hendry	Who would wave known :O #sarcasm #pollingwoes #translivesmatter https://twitter.com/Reuters/status/723106277958815744
the_vaibhav	why cant #mypmnamo discontinue stamp on rajivgandi & such leaders. ppl r really getting confussed which side to really put spit to #sarcasm
AshenNoxAQW	I am so glad that I accrued thousands of dollars of student loan debt just so I can sell shit on eBay for my place of employment. #sarcasm
JoshNorris	@ClevTA I mean they get an instant hall of famer #sarcasm
mungowitz	RT @thejamesongirl: @mungowitz And I suppose that you all still believe that TSA is keeping you safe from terrorism too? #sarcasm
thetexquire	Thanks Harriet for that one time you sat on a bus and for the tubs. #sarcasm https://twitter.com/washingtonpost/status/723182024236883968
BarsSociety	SARCASM!!! Because Beating People Up is Illegal. #BarsSociety #sarcasm #sarcastic #MMA #MMAStudent16 #trending #TrendingLive #Trending20
JohnnyACE562	"Oh no! You're homophobic and you should be boycotted!" #sarcasm {{-_-}} https://twitter.com/BrotherMob/status/723194181540147202
Trowbridge_	RT @Pabbs01: Turns out teachers don't like when you say "dicking around and shit" in a presentation to college students....who knew #sarcasm
_elitevision24	I do sometimes want a Bro\Sis just so I can be cool, drag them around so they can snapchat me and take Instagram pictures of me. #sarcasm
tetines90	@jessesingal why do u censor ppl? #sarcasm
therealside	How to make a #fortune off of the #gender #wagegap. via @MPHaus #women #equality #sarcasm #tcot http://ow.ly/4mViJH
ReeceKelleyG	Who's this Jake Arrieta guy anyway? #sarcasm
desadier19	@AstrosCounty @Eric_CTH But who cares because they play defense. God forbid Tucker in LF. #sarcasm
timetogrow_up	Warriors get fouled all the time, but they never foul. #sarcasm
Darinsvenson	@mattcoss78 I'm enjoying schools using aspi for online registration but they never post results there after the meet #sarcasm
FriedMelanin	@BleacherReport thanks for the update! #sarcasm
NJMike319	RT @2AFightR: Man, so glad for the hope & change #sarcasm [pic] #tcot #tgdn #PJNET #LNYHBT #ccot #RedNationRising #SGP https://t.co/zVCJr5p…
rakesh_andey	Lot of earthquakes occured recently & their magnitude is greater than my cgpa #sarcasm #sarcastic #comedians
Wersula	@BridgetOFlynn @leftocentre you obviously don't appreciate that Turnbull invented The Internet #sarcasm to the max
Media_Rants	@AmyJoRyan @WynnPeabody @DSP_txt @TakedownMRAs so I'm just supposed to know and was can?! Lol #sarcasm
ian_sherwood	#newfoundland this weekend! Hope you saved some of that snow for me... #sarcasm #everywheretogo… https://www.instagram.com/p/BEf7do3KfOd/
hoosierdaddytdh	Cannot wait to do my favorite thing this morning: Go through Customs! #sarcasm
sandeepshetty04	Sex is good but have you heard about PIZZA 😍😍😍😍😍😍😍 #sarcasm #chandlerbing
dbdeepak403	RT @SoulsFlute: decide among yourself who is not #tweetchor #sarcasm 😂 http://twitter.com/SoulsFlute/status/723442441701838848/photo/1
banashree_palit	Ok now I'm sure my pillow is a hairstylist, because every time I wake up I have the weirdest hairstyles #sarcasm
chillicampari	RT @jwildeboer: Should we send UN troops to watch over US elections to make sure they are fair and democratic? #sarcasm
maegymeg	So the moral of the story is if you never learn to do things for yourself, guess what no one makes you #sarcasm
musham00	@StanloGraphics @stavvers Stop patronizing her. Just because she shows off her hairy armpits does NOT mean she wants you looking. #sarcasm
ValTourchin	It depends... When I have laryngitis - Forrest Gump! #humor #funny #sarcasm #irony http://twitter.com/ValTourchin/status/723545016401055744/photo/1
SRPolarBear	Celebrating #EarthDay the right way! #NCC #sarcasm http://twitter.com/SRPolarBear/status/723567840297508865/photo/1
