VrginX	They still make #GarbagePailKids? #sarcasm @toppscards: http://twitter.com/toppscards/status/693949069018939392
MR_Villarreal_	RT @JeanetteJing: @BaxterPamela @RevJJackson Because the past has no influence over the present #sarcasm https://twitter.com/jeanettejing/status/696338501386706944
deadheds4bernie	RT @JeanetteJing: @BaxterPamela @RevJJackson Because the past has no influence over the present #sarcasm https://twitter.com/jeanettejing/status/696338501386706944
bobby_kneisel	@marypcbuk @edbott yeah because Microsoft would totally do that. They change policies all the time for bloggers. #sarcasm
valkyrez5	@Zernoxnun maybe I should include #sarcasm
cpc6128	@thenerdtheword It's funny, you've never mentioned your dislike of Alan Wake before ;-) #sarcasm
shaffer_wright	RT @b1gk123456789: I love English class! #sarcasm
coreyroth	Hey @surface I want to personally thank you for losing another 20 minutes of productivity today thanks to your video drivers. #sarcasm
LaMonicaBuzz	Maybe Twitter should buy Pandora? A Twitter #Music app could be huge! Oh. Wait. #sarcasm $TWTR $P #algorithmsrunamok
ZoHennessy	@Suntimes yeah that's what Rahm should be focused on. #sarcasm
Cajunwealth	By including us in the conversation, not just Al & Cornel, Mr. Revolutionary. Lol #sarcasm #HowToTalkToBlackWomen
EtsyLovely	The Only Running I do Is LATE http://etsy.me/1DSYxx9 @Etsy #lol #fun #funny #sarcasm #late http://ow.ly/Yd4Wt
bnievera	Why Sarcastic People Are More Successful | http://ow.ly/YdqH1 #sarcasm #sarcasticyou #success
lupemontes1000	Wow an old CD player #sarcasm #RecordPlayer 📀😂😂 http://twitter.com/lupemontes1000/status/697925125530918912/photo/1
CkEatDelicious	Maybe 4 󾌩 #youknowwhoyouare . . . #sarcasm #foodhumor #pasta#love#ilovecarbs#cookeatdelicious #icookforthoseilove http://fb.me/4Duuc7Bby
dcmarti1992	Because it is OBVIOUS that the man himself got in the way of @GOP Cheney's bullet. #sarcasm https://twitter.com/thehill/status/697941468695162880
Yhanfinity	Can't believe I'd actually deal with you. How exciting #sarcasm
iholmes_8	What an incredible genius. The best of all time. #sarcasm. https://twitter.com/kanyewest/status/697585446960893952
Earl_Hoffert	FINALLY, a question about the overlooked, marginalized white population. #DemDebate #sarcasm
CaseyWheelock	RT @JeanetteJing: #Hillary2016 has heroic foreign policy experience that prepares her to be Commander in Chief #sarcasm #DemDebate https:/…
JeanetteJing	#Hillary2016 believes in "respect, even for our enemies" #sarcasm #DemDebate #DebateWithBernie https://twitter.com/JeanetteJing/status/673536629475160064
NyniaChance	RT @JeanetteJing: #Hillary2016 has heroic foreign policy experience that prepares her to be Commander in Chief #sarcasm #DemDebate https:/…
MuneraAmy	RT @JeanetteJing: #Hillary2016 believes in "respect, even for our enemies" #sarcasm #DemDebate #DebateWithBernie https://twitter.com/JeanetteJing/status/673536629475160064
SaintClutch	Studies show the root cause of being too easily #offended is actually a #sarcasm deficiency
NotAllTaylors13	I'm starting off very strong on my wle #sarcasm
PopiGander	@MaryamNamazie It was actually #sarcasm intended to revaludate a point about her one-sided humor #spoiledlilgirlz
LisaLils_G	Just had a customer sing "Lisa it's your birthday" down the phone to me...that's new #sarcasm 🙈
Xmas_Grinch	Back at work - just in time for the weekend #TGIF #sarcasm
Dagny_Galt	@TheEconomist @DixieRedRocket Yeah, but under Bernie, no one will need jobs. Everything will be free. #sarcasm #p2 #tcot
CoffeeCocktail	Well this day is off to a great fucking start. #sarcasm
gauchopayne	Great day to come home from the Bahamas. #sarcasm https://twitter.com/clamberton7/status/698143022563766273
Assman2469	RT @SexyLegsHeels3: Fluent in #sarcasm #sexiness and #curves @MilfieClub @XXXCheckUp x http://twitter.com/SexyLegsHeels3/status/698175750168563712/photo/1
piizzapriincess	thanks lady luck, for seating me next to a baby on this plane. you know how much i fucking love babies #sarcasm
ItsAlexa_96	Nice to know I've got my family's support 😔🙄 #sarcasm
EtsyFabulous	The Only Running I do Is LATE http://etsy.me/1DSYxx9 @Etsy #lol #fun #funny #sarcasm #late http://ow.ly/YfUIl
wit_twitt	It's said that #sarcasm is the lowest form of #wit. To that I say "No, really? Hey, somebody give this person a #Nobel #peace #prize!"
xM0LLiEx	So I'm really glad I won't get to see Bae for vday. #sarcasm #truelove. @trevor_adkins
eemmiillyya	The best part about pregnancy is the nausea hunger pains!!!! #sarcasm 😷😷😷
tnzrz	@Roxie323 Didn't have enough characters for #sarcasm. <sigh>
missypdoll	Even I get fooled by my own sarcasm at times. #sarcasm #potd #tweetoftheday
austineatscats	@TRkyleplagens Yes. Lol maybe I should put a #sarcasm at the end of all my sarcastic tweets.
TheAcornWarrior	Holy f*** it feels like -17 outside right now! Good morning #Buffalo, great morning to head outside. (#sarcasm)
GrisholmSWoA	RT @Mordhyrgm: Now that #gas is so cheap I'm really enjoying the lower grocery cost... #sarcasm
ethanepstiiiine	@KStreetHipster Melissa harris perry, of course! #sarcasm
Chelsea_HQ	PSG only draw in Ligue 1. They’re feeling the pressure already. #sarcasm
icemantee1	RT @Chelsea_HQ: PSG only draw in Ligue 1. They’re feeling the pressure already. #sarcasm
MichaelRpgt	RT @Chelsea_HQ: PSG only draw in Ligue 1. They’re feeling the pressure already. #sarcasm
BillyHallowell	Imagine the nerve some have in "humanizing fetuses?" It's almost like that unborn child with a heartbeat is...human. #sarcasm
Prawidyarief	RT @Chelsea_HQ: PSG only draw in Ligue 1. They’re feeling the pressure already. #sarcasm
J_Chokani	RT @Chelsea_HQ: PSG only draw in Ligue 1. They’re feeling the pressure already. #sarcasm
Jajabells	Thank you for understanding my mood swings as a lady. Thank you for being patient and for not giving up on me #sarcasm
ChelseaStats	Utter disgrace we've conceded to this lot. Hiddink out. #sarcasm
TheMeccaPodcast	RT @VINCE_RUGGIERO: Yeah, because he did such a WONDERFUL job at Det. #sarcasm https://twitter.com/GiantsViews/status/698597863396401152
petrakramer	RT @Bubbelonia: Godman Sachs, doing @TheTweetOfGod's golden work. #sarcasm https://twitter.com/nanexllc/status/698328768319004674
Kandy2021	I just coughed out a tonsil stone the size of a quarter. today's gonna be a good day. #sarcasm #tmi #gross
EtsyLovely	The Only Running I do Is LATE http://etsy.me/1DSYxx9 @Etsy #lol #fun #funny #sarcasm #late http://ow.ly/YhOLe
DearCustomerRel	RT @AshleyPashley6: An open letter to @SP_EnergyPeople #complaint #picoftheday #letter #viral #helpagirlout #retweetthis #funny #sarcasm ht…
JFauGFX	Nothing like an #election year Supreme Court nomination to lift the political discourse and bring the #usa closer together! #sarcasm
Simply_Le1	RT @mokashmusic: The coolest dad on the planet w/ @PacManPayen, @Arberi_10, @HH_Chracker #sarcasm... (Vine by @thewebbeffect19) https://t.c…
VA_BOY_11	I really hate the the 4 got in that..... #sarcasm
tweetsbylaurat	Wow.... Did trump just imply Bush was responsible for 9/11? At a #GOPDebate? That's a smart idea. #sarcasm
melissaforlife	RT @Courtneyscoffs: I love how Gov. Ketchup clears his throat right into the mic before answering a long-winded question. #sarcasm #GOPDeba…
jmadden67	Glad #Trump is back to not being presidential. He threw me off in the last debate. #sarcasm
schizo_quixote	Did #trump take a civics class? He's going to bully companies instead of giving incentives? Sounds promising. #sarcasm #GOPDebate
moderncomments	That @realDonaldTrump is just pure class. #sarcasm https://twitter.com/stephenfhayes/status/698727157502238720
sarah_rose711	So excited to see all the cute couple pics tomorrow 😻 ❤️ #sarcasm? #maybe #maybenot #idk
beingsarci	#sarcasm is the best response! https://twitter.com/realhistories/status/697301987465932802
Emz_CFC	RT @Chelsea_HQ: PSG only draw in Ligue 1. They’re feeling the pressure already. #sarcasm
tyararegina	@jakartagoid i cant see anything. What kind of city tour bus is it? #sarcasm http://twitter.com/tyararegina/status/698807573416321024/photo/1
KristinNitescu	Walking home 5 miles bc I had to cancel my credit card. Best night ever. #sarcasm
portiaburk31	@cappiehead my god liz must have busy sleeping with all three of them because of there deep love for her #sarcasm #busygirl
BillimonW	Hhhmmm don't I look CHUUKESE???....😒being left out cuz i don't look like what people expected..😁#sarcasm
hmayfie	All people love being generalized. #sarcasm #peopleareindividuals #Valentines
jkalles	Another successful ceasefire in Syria-What's Kerry got for us next? #sarcasm Turkey, Saudis threaten troops in Syria http://www.cbsnews.com/news/turkey-saudi-arabia-threaten-ground-troops-syria
Absurd13t	That's ok. Its not like the mentally ill can complain, is it? #sarcasm https://twitter.com/BBCBreaking/status/698929996040114176
thestreamguru	RT @danedweller: @PoliticsSense @guardian Yes those vile Australians & their points based system #sarcasm
kayleighann33	The upside of being on hold with AAA? Well...actually...I can't think of one at the moment. I'm having such a fantastic weekend!! #sarcasm*
MalibuGifts	The Only Running I do Is LATE http://etsy.me/1DSYxx9 @Etsy #lol #fun #funny #sarcasm #late http://ow.ly/Yj0oJ
EtsyLovely	The Only Running I do Is LATE http://etsy.me/1DSYxx9 @Etsy #lol #fun #funny #sarcasm #late http://ow.ly/Yj0my
dittmer_ashley	Absolutely love ruining Valentine's Day :') #sarcasm
Racheljay77	The visibility is just fantastic right now. 👌🏻 #RoadTrip #CollegeVisit #sarcasm
LauraOfChaney	I was always a good at taking pictures as a kid. #sarcasm https://www.instagram.com/p/BByMkaXv6RGvEbmIjTZVs2rgNcb8iSLHdTXOdE0/
_silversmith	@Montel_Williams Look, Boehner is gone from DC now. Trump's just trying to represent the orange people. #sarcasm
smartassquote	A heartfelt wish for this Valentine's night: #valentine #funny #humor #sarcasm http://fb.me/O8cp3ANS
Weak_Side_Help	Why stop there? Los Angeles has a major homeless problem. Perhaps Kobe should donate ALL of his salary to charity as well. #sarcasm (1/2)
leighagiranda	shit school guidelines are def more important than giving a day to presidents aka the people that keep our country in line #sarcasm #dayoff
manosenthil	RT @mehaoviya: Kinda want to text you kinda want to block you #sarcasmகிரகம்#
gungadin700	RT @TheVeronicaVain: My journey to being an Instagram Barbie. #motivation #blessed #nevergiveup #eatclean #sarcasm http://twitter.com/TheVeronicaVain/status/699076967950200836/photo/1
nba2kgm305	RT @TheVeronicaVain: My journey to being an Instagram Barbie. #motivation #blessed #nevergiveup #eatclean #sarcasm http://twitter.com/TheVeronicaVain/status/699076967950200836/photo/1
MyWitsEndTweet	It's said that #sarcasm is the lowest form of #wit. To that I say "No, really? Hey, somebody give this person a #Nobel #peace #prize!"
kinnallgezu	RT @TheVeronicaVain: My journey to being an Instagram Barbie. #motivation #blessed #nevergiveup #eatclean #sarcasm http://twitter.com/TheVeronicaVain/status/699076967950200836/photo/1
aCommerceTeam	Current status of #eCommerce: "This is our company and our products!" Client: YEAHHH this is what we want @florianlueft #NOT #sarcasm
rltor_prn	RT @TheVeronicaVain: My journey to being an Instagram Barbie. #motivation #blessed #nevergiveup #eatclean #sarcasm http://twitter.com/TheVeronicaVain/status/699076967950200836/photo/1
EvelineArtPixy	Just a little remainder during cigarette break.. :P #sarcasm https://twitter.com/1louded1/status/699192636238913536
NowPlayingXD01	RT @TheVeronicaVain: My journey to being an Instagram Barbie. #motivation #blessed #nevergiveup #eatclean #sarcasm http://twitter.com/TheVeronicaVain/status/699076967950200836/photo/1
Xenoshane	@RakutenUK You guys are super great at replying to emails when orders go missing for weeks, well played ! #sarcasm #shitservice
lnmrls	And in other news, it's Monday. #sarcasm https://twitter.com/marklevinshow/status/698852456386531328
LavaLabbs28	RT @modernsarcasm: It's nice when someone replays to your sarcasm with sarcasm, instead of getting offended #sarcasm
ichwanibrahim	Goal machine! #sarcasm RT @LFC: Kolo Toure tells us why his first #LFC goal was so important to (cont) http://tl.gd/nltqrr
sarewolves4eva	Good of wolves to cover any extra cost for sir jacks statue! #sarcasm
twyeets	On verge of losing majority wouldn't McConnell take Obama's #SCOTUS compromise if R didn't sense a weakened Hillary? Thanks Bernie. #sarcasm
Mooslan	Shocking news. #sarcasm https://twitter.com/BuffaloSabres/status/699284361376571394
sdmarshallfan	@rainnwilson @gofundme @kanye How can we let someone so humble, modest, and self deprecating suffer? #sarcasm
SoulTown	RT) I KNEW IT! #sarcasm
DirtyLeedsBlog	@sveifors he scores every time! #sarcasm
cadebowman	@unccharlotte always has our best interest at heart. Class from 6:30 to 9:15 won't be a problem. #sarcasm #wreckcity https://twitter.com/UNCCWeather/status/699337679142580225
laurenlovesjlj	@PoliticalLaughs trump doesn't pay dirty at all does he? #sarcasm
r_a_r_lambert	@kanyewest NOOOO my life wouldn't be worth living without hearing your new album!!!!! #sarcasm
chan_Nav	I know, like cancer #sarcasm https://twitter.com/drmoore/status/699374185877999616
cantelon	Hmmm...Alabama Shakes wins Best ROCK Album - right, I can Barely tell the difference between them and Van Halen #Grammys #sarcasm
crazyboutweezy	RT @989thebear: We're so excited!!!! #sarcasm http://twitter.com/989thebear/status/699451212685565952/photo/1
Claire_Dunphy32	Wow that only took my entire night... Oh wait but I'm not even finished yet!!! Yesssss thank you apple!! #sarcasm
AgentVenomCraft	RT @JayShockblast: Friend FB messages me after midnight to tell me Street Fighter V is off to a wonderful start on PS4. #sarcasm
modernsarcasm	Light travels faster than sound. This is why some people appear bright until they speak. #sarcasm
MsAlliance	@creativeblock_ All of you up there are JUST like this, no? Coming from LDN, we ALL think so. (#sarcasm just in case)
TeamAdam76	One again - solid driving #halifax #sarcasm #justrain
RealShawnKubiak	Well, some "Christian" told me I'm evil because I'm Catholic & Liberal. Gee, thanks! I I'm now aware of the errors of my ways #sarcasm
KyraMoore1964	RT @JeanetteJing: @Njeanous @GoldmanSachs Yes, this is the schoolyard #sarcasm https://twitter.com/jeanettejing/status/699565125108260864
ARC4Freedom	RT @pir8gold: ...and calling us teabaggers was just political free speech? #sarcasm https://twitter.com/aldouaneja/status/699334671621091328
high5geo	Well @roosterteeth just screw me out of a VIP pass this year because I could only buy 1. Thanks for the headups #sarcasm
neverlikedit	As if. #sarcastic #sarcasm #sassy #yup #lastwords #funny #haha #single #instagood #instafunny #insta... http://fb.me/7C6lBqjn1
ConsFacepalm	@ns_media Umm @JebBush has used jebbush2016 since day 1 right? No? Here is some proof. Great reporting! #sarcasm http://twitter.com/ConsFacepalm/status/699654310808784896/photo/1
thegreatsteak	Highly detrimental to the Premier League when quality players like #Jelavic join the exodus to China... #sarcasm
mirabooboo	Follow me on @instagram @ shareify or look up Mira Boo Boo! #animals #selfies #random #London #beauty #sarcasm http://twitter.com/mirabooboo/status/699691463295242244/photo/1
WingsKC	He is SO well known for restoring calm. #sarcasm https://twitter.com/DiuguidLewis/status/699683144857993217
mercedechen	school is still kept opened despite the 1 ft of snow piled outside. my school is so safe :') #sarcasm
02KimK	Thank you Snow Plow guys! I appreciate my car being buried! #sarcasm #ny #snow #pissed #newyork… https://www.instagram.com/p/BB3KPMHpKcV/
noahbooties	Any girl who lies you about their virginity she's a keeper #sarcasm
BoxingVoice_Vic	@CzarChristoph #sarcasm my friend
KaelyMonahan	How sad for them. #sarcasm https://twitter.com/newsweek/status/699695295085436932
SHADMILLER13	@seanheath @T_daPreacherman good times, no? #sarcasm
grapple_this	@BollywoodSingh because its like the super kick, no one is doing it anymore? #sarcasm
10baggersallday	@metra displaying courtesy and excellent service to passengers. #sarcasm Get your act together before you raise prices. We want change.
DohnGreg	Looking forward to #ESPN sideline cam for football in the fall. #sarcasm
PeoriaPlowBoy	Atleast the Blues are playing disciplined hockey.... #sarcasm
DMashak	@AmandaMcBuch #sarcasm Just remember we've got #McConnell & @SpeakerRyan to protect us,just like they did almost fully funding #Obama Agenda
elishapsmith	I'm back to iPhone which is nice I guess because now I can express my #sarcasm in any ethnicity I want to 💁🏼💁🏾💁🏾💁🏿
DanRayWalls	Ssssshhhhhh ak deserves 0 blame don't you know its not his fault. A player hadn't been shooting good. #sarcasm https://twitter.com/SECWonka/status/699810829974315009
BigBabyVincent	2k f***ed me over i payed 38,475 mt just to get abunch of nobodies on myteam what a waist thanks a lot all-star mvp box!!! #sarcasm
cathninja	Looks like I'm shovelling snow off my car....great! #sarcasm
MaidenMalice	@ahmedtvjunkie remind me again what do you have to burn #sarcasm
KieranTeck	My PC has broken down over the weekend. Finally fixed it just in time to finish tons of Uni work for Friday. #madrush #luvit #sarcasm
angiedam2	Economist Predicts Fabulous Wealth if Bernie Sanders Wins LOL #sarcasm http://www.nationalreview.com/corner/431057/economist-predicts-fabulous-wealth-if-bernie-sanders-wins
AngelaLoRosso	So Turkey can't find any dancing monkeys willing to join its fabulous idea of a ground force for Syria. Wonder why. #sarcasm
CIndyStarbuck	RT @2AFight: Man, so glad for the hope & change #sarcasm [pic] #tcot #tgdn #PJNET #LNYHBT #ccot #RedNationRising #SGP https://t.co/zVCJr5pF…
xMDxSon	621am and 270 traffic is backed up to Frederick. Woohoo #sarcasm
wtf_compilation	RT @Jack_dO_ob: YESTERDAY Me: Hi Them: Parang tumataba ka Me: (cause I just ate your soul)😇 #reality #sarcasm #wtf
Emilia1564	Congrats to the new lieutnant...Iago. Woo hoo. Hooray. I am happyfor him #sarcasm
SkiPoss	Yeah but lets' just have a Royal Commission into unions only cos THEY are corrupt. Pfft. #sarcasm @johndory49
HueyRyRy	I think Kanye West needs the money more #sarcasm https://twitter.com/ewnupdates/status/699914739447496705
BethCol77455974	RT @JeanetteJing: "People aren't dumb. Why in God's name does Wall Street make huge campaign contributions?" -#Bernie2016 #sarcasm https://…
Oreve671	RT @JeanetteJing: "People aren't dumb. Why in God's name does Wall Street make huge campaign contributions?" -#Bernie2016 #sarcasm https://…
avtramontano	RT @JeanetteJing: "People aren't dumb. Why in God's name does Wall Street make huge campaign contributions?" -#Bernie2016 #sarcasm https://…
NoMainStream1	RT @JeanetteJing: "People aren't dumb. Why in God's name does Wall Street make huge campaign contributions?" -#Bernie2016 #sarcasm https://…
tallweatherguy	RT @DarylRitchison: I wondered who cleared last night? #sarcasm #easyanswer http://twitter.com/DarylRitchison/status/699944117749436416/photo/1
TeleceW	RT @BlueRockCon: @JohnLegere who would have thought treating customers properly would end up with success. #sarcasm
jfoord	A pair of pants? Oh yeah, it makes perfect sense to give an otter a pair of pants to play with. #sarcasm https://twitter.com/Kaitlin_Lee/status/700006676645158912
FBCW_Pastor	Looks Republican/conservative to me #sarcasm https://twitter.com/katieglueck/status/700016985187426304
Benningham21	@lowkey_mermaid gosh i mean that's like naming your kid Virginia or Dakota... #sarcasm #ChallengeNormalUnderstanding
DaReallAmberRos	a women should have a limited amount of partners otherwise no man will take her serious #sarcasm
IsaiahOs	Time to face danger and have this free food from chipotle #sarcasm https://www.instagram.com/p/BB52hwnMpFwtTBzaBEBjuBrg52GCRwfFJI5cwg0/
MichelleMumford	I think we should spend a couple million on this study. #sarcasm https://twitter.com/utpolcapitol/status/700086591906164737
crisp_aw	@peddoc63 @Callisto1947 ID required in my state, and I have seen black vote.. OMG! The world is ending.. #sarcasm
rebeccamferry	My @AmericanAir flight is delayed... #shocking #sarcasm
MsEntropy	RT @weddady: I get it, whether there's a #JesuisAnkara or not depends on whether #ISIS or the #PKK did it. #sarcasm #JeSuisPolitics
vincessbeans	RT @bimby_kalerQUI: To those tweens tweeting " ANAKAN MO AKO ZAYN ", your parents must be so proud of you #sarcasm
TheLeftCall	Hey #MSNBC, this is a really hard-hitting interview of #Trump. #sarcasm
nyghnfg	My dm is broke like my phone......... 😂😂 #sarcasm
PhyllisCopeland	@InfidelAnthony Oh, this makes perfect sense! It explains why rivers, ponds, and lakes levitate and oceans don't! #sarcasm @DavidWolfe
Seanmostrander	Oh right! Because what he did is totally okay nowadays. I forgot. No no, my bad. Carry on. #sarcasm @TigerWoods @espn
Rolf_Drechsler	Why #sarcasm is such a problem in #ArtificialIntelligence https://thestack.com/cloud/2016/02/11/why-sarcasm-is-such-a-problem-in-artificial-intelligence/?utm_source=SocialWarfare&utm_medium=twitter&utm_campaign=SocialWarfare via @StackTime
CKellyAllen	RT http://twitter.com/dmanny/status/700249702793515009 Thinking about setting up a Facebook page for my #photography. Finger on the pulse of social marketing. #sarcasm
ryanmccarvill	@WgtnPhoenixFC do they have sports administrators of the year? @NZ_Football would be a shoe in. #sarcasm
aksss7	Should've added #sarcasm at the end as well. #MUFC https://twitter.com/MailSport/status/700260976902414336
shelleyshero	RT @2AFight: Man, so glad for the hope & change #sarcasm [pic] #tcot #tgdn #PJNET #LNYHBT #ccot #RedNationRising #SGP https://t.co/zVCJr5pF…
TheStacyLouis	"We hate it. It's so disparaging. Why would I want anyone call me something a LOW as a king." #sarcasm https://twitter.com/tarisunscripted/status/700335365295476737
MikeSceezie	RT @TheStacyLouis: "We hate it. It's so disparaging. Why would I want anyone call me something a LOW as a king." #sarcasm https://t.co/B…
chennaisherlock	@Madrassan @Rajpurohit8658 sorry to intervene but this is so much fun. Nd pls tell me you both are related as well. #sarcasm
SwatzPotter	Some bored kid was given the job to answer twitter complaints. Superb quality just like the brand #sarcasm https://twitter.com/RingingB/status/700194274541867008
wilsonhanna21	RT @modernsarcasm: if I got $1 for every time I rolled my eyes I would be a billionaire. #sarcasm
SergeHalytsky	RT @AthomSmasher: @APHClarkson "Warns Assad", what, Putin's not got his hands in Assad's pocket's? #sarcasm
Jack_Doors15	#insidetheklukluxklan really well balanced people who don't look/sound ridiculous at all..and very caring not using the left hand #sarcasm
ruutagaile	RT @winnikat: Acting is a great way to stay in the serving business. #actorslife #sarcasm
nick_saraceni	@CTVKitchener nice to see you did a piece on @carlosbenevides doing 24 hour walk for heart stroke at Movati Waterloo #sarcasm
CerveraFilms	@BreitbartTech @Get2Church But they are being run by a independent women, how could this possibly happen? #sarcasm
jlaramsey	@BNBuzz Great job putting Playboy in the checkout lane at kid height.#sarcasm #notbuyingit Maybe supporting my local store doesn't matter.
Kim_d_marlin	@michellemalkin @dexybailman @JeffSchogol I wonder if our President will invite him to the @WhiteHouse ...I know he won't! #sarcasm
dr_w83	hey @Kijiji, I just got a reply time stamped 16:39, but its 18:21. Appreciate the prompt email forwarding! #sarcasm
Lady4Yeshua	But they're broke, don't you know?! They just draw off that fund... #sarcasm https://twitter.com/GoldtroutSharon/status/700490522062929922
EtsyLovely	The Only Running I do Is LATE http://etsy.me/1DSYxx9 @Etsy #lol #fun #funny #sarcasm #late http://ow.ly/YuT7n
justin_ENTR	Do you have to be famous to change the world or simply leverage a lot of money? #startups #business #sarcasm
sensei_999	It's a struggle everyday #sarcasm #dailystruggle #mylife http://twitter.com/sensei_999/status/700576878147534849/photo/1
gauravlavania	@KapilMishraAAP Your parents must have given you great upbringing What floral language! #sarcasm
MarkGra32186801	RT @Textualsatisfac: @RickFox @CanadaGooseInc #canadagoose are proud sponsors of animal cruelty. You must be so proud, Rick. #sarcasm #cana…
renataadler6	RT @DmitryLysenko3: .@four2020four7 @REVOLVEclothing takes a mighty man and a beautiful woman to make and wear #fur #sarcasm https://t.co/E…
MelissaMackie9	@cal_rn This makes me so excited to be one of the ones coming to end your misery. #sarcasm
Tombx7M	#GOPTownHall The Pope tells Christians to build bridges instead of walls. The nerve!! #sarcasm http://twitter.com/Tombx7M/status/700631953737781248/photo/1
ItsLaShaune	Lawd forbid a black man show love to another black man smh #sarcasm
okc_blair	@ryankgaines - I am coming to the game today - I don't have cash, will box office take "plastic" ? #sarcasm
Acid4Willy	@8NewsNow We need more guns and gun shows!! Damn Democrats!! Give me an AK-47 NOW DAMN IT!!! #sarcasm
YoungBruceB	"So fortunate to have friends that make me feel good about myself." #sarcasm #whatfriends http://twitter.com/YoungBruceB/status/700678446150774784/photo/1
PatrickButcher6	Yeah because as a pro-lifer I would hate my child if it was any of these things. Makes perfect sense! #sarcasm https://twitter.com/bellaosses/status/699990702969786369
tedarliana	A real man does not lay a f finger on a woman 😉 #sarcasm
M_Mendes	@ryan_batty @Jason_Strudwick Especially when you already have a future Norris Trophy winner in Schultz.....#sarcasm #Oilers
dalemelchin	@benshapiro I'm so triggered. I need a safe space with puppies, playdoh, coloring books, cookies and I want the rich to pay for it! #sarcasm
Oct3646	Yes. Yes. You're special. 😐 #sarcasm
jonszafran	RT @zorblaz: Good. I've always thought Disney needed to remake that clunker with some real talent. #sarcasm #wtf https://twitter.com/forbesshowbiz/status/700743169625862144
hflbend	@dougiefischer Lara's gift draw vs Molina and struggles against Vanes, Angulo & Canelo, & his one dimensional style got GGG scared #sarcasm
HeathersCheddar	@LiveFreedomOrDi Says he "blocks Cruz supporters" - so a real champion of free speech too! #sarcasm #CruzCrew
smmckin15	RT @DmitryLysenko3: .@four2020four7 @REVOLVEclothing takes a mighty man and a beautiful woman to make and wear #fur #sarcasm https://t.co/E…
ElaineFox	@CindyTindell Wow who could have seen that coming?! #sarcasm
OhNoShetweetnot	Can't sleep.... happy birtday to myself #sarcasm
Witticisms_R_us	Queen T-shirt, Queen of everything, graphic tee, gifts under 20, ladies shi… http://tuppu.net/43c4e11c #sarcasm #funny http://twitter.com/Witticisms_R_us/status/700850555325812736/photo/1
littlemrscowan	RT @rachel_gruber: To the girl in the apartment next door taking a shower: SANG IT. SANG IT LIKE YOUR LIFE DEPENDED ON IT. #sarcasm #apartm…
arielle_adkins	@realDonaldTrump Similar to how the Patriots boycotted tea at Boston because the GOVERNMENT was taking away freedom. #sarcasm #seriously 🤔👎🏽
sbnitw	If you say.. Vande Mataram... Then you are bhakt... #sarcasm #FakeItLikeNDTV
frankquaid2	Picture: Sarcasm: Just one of the many services I offer. #sarcasm #fun #funny #true #truestory #quotes #saturday #… http://twitter.com/frankquaid2/status/700943191089012736/photo/1
AJ_Hailey	RT lakersselfie1 Sarcasm: Just one of the many services I offer. #sarcasm #fun #funny #true #truestory #quotes #s… http://twitter.com/lakersselfie1/status/700942847537762304/photo/1
free_mason	RT @SFMoe: Raining glass from a window at 191 n wacker... Perfect end to my lunch walk #sarcasm #scary #missedmebythismuch https://t.co/KEa…
daisysanchezx	Great way to "make" my night. 😊😊😊 #sarcasm #sike #fuckyou
Puffy_Fluffy	RT @fake_rainbow: I found out the truth. Damies are idiots, we all must worship Queen Amelia #sarcasm
termx	@jmillerqld @BernardGaynor agreed, but you never know when Indonesia's 259 million people will decide to invade Australia #sarcasm
maggs_erika	I get to run the 2 mile today! YAY!... 😒 #sarcasm
arsenalmad79	RT @DarrellTaylor66: What we need is another defensive midfielder. Two DM's against Hull City reserves clearly isn't enough. #sarcasm
herron69	RT @Dagny_Galt: @mitchellvii Maybe @microsoft can help with the vote counting. #sarcasm
ScottGingold	Pres Obama's decision to not attend Justice Scalia's funeral will certainly help to strengthen his relationship w/the republicans #sarcasm
HABSFAN_91	Not only do they hate each other but PK is trying to steal Marky's girlfriend bcz he's selfish! #sarcasm https://twitter.com/al_adferguson/status/701080269256691713
ETsmommy	My wonderfully fantastic sleep for the last week. #sarcasm #notsleepingsucksballs https://www.instagram.com/p/BCA_JP3gqpU/
katiec1314	RT @ailsatomany: @WingsScotland Quality of the cardboard is a dead giveaway on one, and suspiciously even writing on another.#sarcasm https…
Tigereye2012Dr	RT @2AFight: Man, so glad for the hope & change #sarcasm [pic] #tcot #tgdn #PJNET #LNYHBT #ccot #RedNationRising #SGP https://t.co/zVCJr5pF…
IndraPetersons	Thanks for sending me this LOL!Sweet dance move I'm rocking on @GMA ... take notes! #dropitlikeitshot #sarcasm http://twitter.com/IndraPetersons/status/701105766661537792/photo/1
EdwardLazellari	Yes. It's so hard to believe a fat 79-year old could die of natural causes. #sarcasm. https://twitter.com/Nverdad/status/699771183764480001
Julie_foxy	@PattiA_R oh yeah those are the tweets I saw too. I guess Julexis is now an extention of the Beloved Super Couple. #sarcasm
Decoder2	RT @RayKahunareb: #outnumbered Nothing quite like watching atheists lecture Christians on what we're REALLY thinking. #sarcasm
MissScoutFinch	@HumbleRando @kampeas @dpletka and not Muslim .... #sarcasm
HinoRaines	I would like to take you seriously , but doing so would offend your intelligence. #sarcasm #love
sarahmworthy	How did the young ever survive without full healthcare benefits in the past? #sarcasm #blatantsarcasm
RenagadeGirl	RT @WrobStv: How dare a democrat break ranks and speak out against Holy Hillary. #sarcasm #uniteblue
