liz2halle8liz4	Sorry. Forgot the #sarcasm quotes around "kinda". https://twitter.com/answerallman/status/804107517194223616
natplay	@Nolan_TQN good thing trade period only opens on the 18th #sarcasm
kmc02	@businessinsider Pretty much everything a teen should have...! #fakenews #Trump #trumptower #teenager #CNN #fireworks #sarcasm
ShadowFax_75	@EA_DICE great new map DICE, sadly can't play it because of directx crash. #sogladwithmyultimateversion #sarcasm
rlc_28	Cats free to a good home. Must stay together. Fixed and declawed. Dm if interested. #sofuckingannoyed #sarcasm #notgivingthemaway 😒
slow_handclap	pat on the back, Malvern Hills #sarcasm
russelguppy	@KDogg3000 I am sooooooo excited to see Dolphin fall from the main title picture again. #sarcasm
MyWitsEndTweet	It's said that #sarcasm is the lowest form of #wit. To that I say "No, really? Hey, somebody give this person a #Nobel #peace #prize!"
WitzigJokes	And I am not a loser 😎😜 #hahahaha #lol #CrazyMindsAtWork #genius #sarcasm https://twitter.com/WitzigJokes/status/808952354250878976/photo/1
k6tcher	This shirt is my life. #sarcasm #leadingthechildren https://twitter.com/k6tcher/status/809023227179761664/photo/1
CatPolitical1	What's app forward of the day 😂😂 #DeMonetisation #cashless #sarcasm @babumoshoy @BhaktBusters @navinkhaitan… https://twitter.com/i/web/status/809035437561917441
TomSavageMusic	Driving around the city. The best way to start your morning. #sarcasm #yellingatcars #drivepeopledrive
Pathophilia	But, but...Gates and Rice offered and endorsed Tillerson as SoS nomination. Isn't that the REAL story?? #sarcasm https://twitter.com/Kasparov63/status/808820703290068992
walterbiscardi	Oh no, did @NBCNews say something accurate about @realDonaldTrump ? So very sad. #sarcasm #crybaby #MinorityPresident
skamath3	Diversity in action! (#sarcasm) https://twitter.com/THR/status/809043988292440064
reginafrye69	It's a good day when you see @donnellturner1 on your tv screen #sarcasm #jasoncurtisteam #GH
MichaelsANewman	This has got to change or the world is in trouble! Thanks Obama #sarcasm https://twitter.com/CodeAud/status/809111719834304513
MorleyRobert	Pretty big day for me. Federal Reserve hikes interest rates. Only 2nd time in 10 years. #sarcasm
NazNazarian	RT @shlomikliab: This tweet includes the most sophisticated and nuanced analysis of U.S politics that I've read in years. #sarcasm https:/…
GRANTMcGEE	Probably not a big deal. I mean at least it's not emails. #sarcasm https://twitter.com/nbcnightlynews/status/809182027954024448
paul_ricketts	Strange I know but do you know that you can change the font in PowerPoint? #powerpoint #sarcasm #deathToCalibri #deathToBulletPoints
StephenMurphy7	I think this is the way forward with my clients - your new service will be delivered in spring #sarcasm https://twitter.com/StephenMurphy7/status/809334578796261376/photo/1
Julifffff	That awkward moment when your #sarcasm is so advanced that people actually think u r stupid ... 🙄
Witticisms_R_us	Perky people coffee mug http://tuppu.net/9357bf81 #funnygift #sarcasm #WitticismsRus #Perky https://twitter.com/Witticisms_R_us/status/809368477781950464/photo/1
2AFightR	Man, so glad for the hope & change #sarcasm [pic] #tcot #tgdn #PJNET #LNYHBT #ccot #RedNationRising #SGP http://twitter.com/atomiktiger/status/382978928761008129/photo/1
staticdriver33	#harryreid (off life support (#sarcasm)) has never told the truth.#nevada #liar http://fb.me/57jSoLckt
remakemethink1	RT @MAlixSalmon: "I'm spending more time promoting myself than I am being myself" @AudenciaMS_SMED @NewYorker #sarcasm…
GMONEYTN	@Hutton1045 he looks like he is wearing a hockey jersey. That's his favorite. #sarcasm
DrAlgaeGirl	@esargent184 Good thing we don't have to worry about rising sea levels #sarcasm
C3mtl	@BerniceCBC So I got caught by the weather. Ferry crossing changed to Sat. Gotta love how @MAferries cannot control the weather #sarcasm
FJack16	RT @trump_win: All of you need to stop being racist and just let the terrorists kill you. #sarcasm • #🇺🇸 #racist #trumptrain…
doc294	@Met_mdclark I've always found that statistics and data with little commentary other than data analysis = hype #sarcasm #eyeroll #facepalm
PMasalsky	@KeithOlbermann @christine081579 @realDonaldTrump @VanityFair It's the maturity and grace of Trump's posts that I admire most. .#sarcasm
macebuttt	Smart and dumb just aren't a good mix 😕 that's just TOO bad #sarcasm
SassyLassie79	Good for you Seattle... good for you #sarcasm
OdessaBlogger	http://www.unian.info/politics/1682542-fbi-ukraine-politicians-unwilling-to-share-details-about-yanukovychs-schemes.html - Now why would Ukrainian politicians be unwilling to help? #sarcasm
fhmarufofficial	If you have ever trusted a wrong person in ur life..... Then raise ur hand!!or add comments #sarcasm
MnHolowaty	Who needs eyes hearts or to see if you have cancer anyways? #sarcasm @ONgov https://twitter.com/MnHolowaty/status/809742090703761408/photo/1
1bulbman	@Daily_Express oh what a bloody shame ! #sarcasm
LilianKells	A whole month in Killingy!!!! Super pumped #sarcasm
ogmarone	@SteveDodd Nope, He's drawing attention to a story you must have missed last Oct #sarcasm #dncleaks
BGM_KB	It's always about men. It's a man's world. We're just here to bear ungrateful children&provide free phyiscal&emotional labor #sarcasm
JustmeElc	@revjeffdoucette Of course not! They should overspend for slowest man in baseball who's injury prone & has no defence. Much smarter #sarcasm
Liza_Spoon	A comment regarding Rogue One. Lol!!!! God forbid the cast isn't all white dudes! #sarcasm https://twitter.com/Liza_Spoon/status/809829005914468352/photo/1
gsphotog_	I am fluent in two languages, one is english the other is #sarcasm #WhiteLiesOnMyResume
jucerbone	RT @trump_win: All of you need to stop being racist and just let the terrorists kill you. #sarcasm • #🇺🇸 #racist #trumptrain…
agamingcombine	RT @t0welcandy: Some say #TheLegend27 was the one who hacked the voting booths to make Trump win. #sarcasm
ReineLeFey	There's nothing quite like being guilted out of buying things that make you feel better about yourself. #thanksmom #feelsgreat #sarcasm
WellingMichael	@maggiesegredo how was she able to attend after her brutal attack. It's a Christmas 🎄 miracle. #sarcasm https://twitter.com/WellingMichael/status/809884453598326784/photo/1
Logan21Thompson	@nickbilton Yeah, because we all know the US government is trustworthy. #sarcasm
GoLuluMax	@TuckerCarlson so glad he's concerned with my happiness. #sarcasm #ivotedmyconscience
extreme8	Well ok decent #sarcasm #Lakers
6002theMaiky	Por fin terminé! I hate you all. Specially you know who. #sarcasm https://www.instagram.com/p/BOHILu1jCZZ/
MyWitsEndTweet	It's said that #sarcasm is the lowest form of #wit. To that I say "No, really? Hey, somebody give this person a #Nobel #peace #prize!"
ChrisMRomano	@MMFlint way to unite the country. Your a true American who cares about America and not just a party line. #sarcasm
AsafRonel	Shocking! #sarcasm https://twitter.com/haaretzcom/status/810099733070946304
exgag	Be a little fun. #exgag #exgagtale #exgagjoke #sarcasm #relatable #scribbletale #inspire #humour #jokes #writers… https://twitter.com/i/web/status/810122937965694976
CaldwellSPK	Love this cold snowy weather and the amazing cheery mood it puts my dad in! #sarcasm
FatBrian2012	Failing to show compassion and care to each other and our planet is certainly #unpresidented #coffee #sarcasm
yarndndangerous	I was out early to go to the market and various other errands in the city. Total mess. Nice job plowing, @CityRochesterNY. #roc #sarcasm
PereraWorld	#lol #funny #comedy #sarcasm "Remember when you dated -" https://twitter.com/ThatsSarcasm/status/810164663845535744/photo/1
travistrudell	@BrentAxeMedia sitting in 300 section today, so many amazing coaches up here have pointed this out -#sarcasm #cusenation
PixelsBeCrazy	This day has started out terrific. #sarcasm Broke my phone camera lens. Pipes froze in the garage so no hot water. What's next?
kimberly_linda	.@DrEricHoskins- pls use pictures with bright colors so my feeble MD brain can understand better 🙄 #sarcasm #ONpoli https://www.thestar.com/opinion/commentary/2016/12/16/health-minister-explains-proposal-to-provinces-doctors.html
kmc02	@TMZ @gossipgirl I find it hard to believe she can think! #tmz #tmzlive #kuwtk #kuwtklink #RealityTV #etv #KhloeKardashian #sarcasm
Cmdr_HanSolo	@ck16001 @atheist_punk1 - OMG! I'm now coinvinced! I have seen the light! #TheDonald is right and his almighty words are Gospel ! #sarcasm
kleigh062	@m01_dm Umm! Sounds like tons of fun! #sarcasm
CesarAvellan	@Jonyrico 👏🏻👏🏻👏🏻👏🏻👏🏻so much class from you 👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻#sarcasm
sherigreatfalls	RT @DouglasLove: Bankers have reformed themselves since 2008--well, with the exception of that little hiccup at #WellsFargo #sarcasm…
Cindy_Zamora97	Love working very early on the weekends #sarcasm #pleasekillmenowbutfirstletmebehappyforlike5wholeminutesthenquicklyenditplease
IambecomeZ	Great Forte is on the field.... #sarcasm
KateLoucks	Hey thanks @SouthwestAir! Loving all effort you put into my trip. Nothing like a 30+ hour delay. #sarcasm… https://twitter.com/i/web/status/810304269018693638
MikeSiciliano_2	RT @RealJoeNamath: Well, we can look forward to next week in New England #sarcasm
EHT1126	RT @RealJoeNamath: Well, we can look forward to next week in New England #sarcasm
jkeeganCO	RT @RealJoeNamath: Well, we can look forward to next week in New England #sarcasm
oldmanmcgeehan	RT @RealJoeNamath: Well, we can look forward to next week in New England #sarcasm
ESPNFrankie	RT @RealJoeNamath: Well, we can look forward to next week in New England #sarcasm
Davis_R_Andrew	RT @RealJoeNamath: Well, we can look forward to next week in New England #sarcasm
CaptainTayvz19	RT @RealJoeNamath: Well, we can look forward to next week in New England #sarcasm
Cmccarth7	RT @RealJoeNamath: Well, we can look forward to next week in New England #sarcasm
stuart_goldman	RT @RealJoeNamath: Well, we can look forward to next week in New England #sarcasm
TheNBSPod	RT @RealJoeNamath: Well, we can look forward to next week in New England #sarcasm
PDSdaMan	RT @RealJoeNamath: Well, we can look forward to next week in New England #sarcasm
kylebroughton12	RT @RealJoeNamath: Well, we can look forward to next week in New England #sarcasm
arnavgeorgian	I used Fair & Handsome now the girls surround me & don't let me walk alone #fairnesscreamsracist #Advertising #sarcasm #conceptartist
StevenZurita	Calling it now. #Disney's gonna make a #BobaFett movie and he disintegrates somebody. Now the line in ESB has more depth! lolololol #sarcasm
CLE4life216	RT @RealJoeNamath: Well, we can look forward to next week in New England #sarcasm
PreppyProf	RT @RealJoeNamath: Well, we can look forward to next week in New England #sarcasm
becca1751	The gift of being a good mom😜#LNIC #LNICGiveTheGiftOf #presents #relatable #sarcasm #comedy #yelling #ki... https://vine.co/v/52563UHmHrd
mickmoart	I was gonna attempt to walk outside!! Late at night IN THE SNOW!! I hear it doesn't snow in certain places!? Where!? IN URANUS!? 😂 #sarcasm
miconmike	RT @RealJoeNamath: Well, we can look forward to next week in New England #sarcasm
MichaelPynket	Mmm my collection of #sarcasm has expanded, thanks to @LLoungeLeuven ! https://twitter.com/MichaelPynket/status/810447232172494848/photo/1
LadyLecondoliak	@baumsche you're a moron who doesn't understand #sarcasm. Block me immediately or I block you #deplorable #racist ass.
PereraWorld	#lol #funny #comedy #sarcasm I LOVE THE SOUND YOU MAKE WHEN YOU CHEWING 🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂
PiNkYsViCtOrYcO	Just the way it is...#GodBlessAmerica #sarcasm #politics #society #realityTV https://twitter.com/PiNkYsViCtOrYcO/status/810488307545083904/photo/1
LoneConservati1	RT @Debber66: Hmmm- that's funny , I don't remember a peep out of the left when Obama said we had 57 states... I wonder why? #sarcasm
victor_de_	RT @Debber66: Hmmm- that's funny , I don't remember a peep out of the left when Obama said we had 57 states... I wonder why? #sarcasm
MissBartmirth	RT @Debber66: Hmmm- that's funny , I don't remember a peep out of the left when Obama said we had 57 states... I wonder why? #sarcasm
AnneseMarc	RT @Debber66: Hmmm- that's funny , I don't remember a peep out of the left when Obama said we had 57 states... I wonder why? #sarcasm
Doe326	RT @Debber66: Hmmm- that's funny , I don't remember a peep out of the left when Obama said we had 57 states... I wonder why? #sarcasm
Buffyfunk	RT @Debber66: Hmmm- that's funny , I don't remember a peep out of the left when Obama said we had 57 states... I wonder why? #sarcasm
MarthaDepuy	RT @Debber66: Hmmm- that's funny , I don't remember a peep out of the left when Obama said we had 57 states... I wonder why? #sarcasm
SarahJRossiter2	RT @Debber66: Hmmm- that's funny , I don't remember a peep out of the left when Obama said we had 57 states... I wonder why? #sarcasm
18hariprakash18	RT @Debber66: Hmmm- that's funny , I don't remember a peep out of the left when Obama said we had 57 states... I wonder why? #sarcasm
NJMom57	The next election let's all just sit out and let @DebraMessing choose the winner since apparently she knows more than everyone #sarcasm
lheinkel	RT @Debber66: Hmmm- that's funny , I don't remember a peep out of the left when Obama said we had 57 states... I wonder why? #sarcasm
jeanOrlando5	RT @Debber66: Hmmm- that's funny , I don't remember a peep out of the left when Obama said we had 57 states... I wonder why? #sarcasm
teapartytempest	@OutlawedMind States have their own regulations. Yep, oil has wiped out the planets water supply. #sarcasm.
MiriamRoseMc	RT @Debber66: Hmmm- that's funny , I don't remember a peep out of the left when Obama said we had 57 states... I wonder why? #sarcasm
Sawyernancy1	RT @Debber66: Hmmm- that's funny , I don't remember a peep out of the left when Obama said we had 57 states... I wonder why? #sarcasm
sshepson	@JudicialWatch for sure, totally nonpartisan. #sarcasm
PereraWorld	#lol #funny #comedy #sarcasm Do you ever just regret meeting someone
Jay_SAUCE27	RT @RealJoeNamath: Well, we can look forward to next week in New England #sarcasm
BrianTaxwhiz	RT @Debber66: Hmmm- that's funny , I don't remember a peep out of the left when Obama said we had 57 states... I wonder why? #sarcasm
sillenb61	Charles clay is a good player if used, funny how that works! #sarcasm #BillsMafia
sheacollagen	RT @Debber66: Hmmm- that's funny , I don't remember a peep out of the left when Obama said we had 57 states... I wonder why? #sarcasm
karin_nine	RT @Debber66: Hmmm- that's funny , I don't remember a peep out of the left when Obama said we had 57 states... I wonder why? #sarcasm
gutiemary	RT @Debber66: Hmmm- that's funny , I don't remember a peep out of the left when Obama said we had 57 states... I wonder why? #sarcasm
TheRoyalJake	The Walking Dead, lifetime winner of #acting and #plotlines..........And also #sarcasm
exgag	Good Morning all :) #exgag #exgagtale #exgagjoke #sarcasm #relatable #scribbletale #inspire #humour #jokes #writers… https://twitter.com/i/web/status/810681257831137280
holistic_pickle	Yup let's fire KNJ. #raiders #sarcasm https://twitter.com/Jerrymcd/status/810647965425684480
N10lemd	RT @Debber66: Hmmm- that's funny , I don't remember a peep out of the left when Obama said we had 57 states... I wonder why? #sarcasm
grantpeshoff	RT @abiwright0: Who ever thought @grantpeshoff could ruin a persons life?? #sarcasm
PereraWorld	#lol #funny #comedy #sarcasm SHe got kicked out of gym for having big boobs?! http://newestnewz.com/fp60
becca1751	When u get turrets BLOOPER😜#LNIC #LNICWrapItUp #comedy #beyourself #news #relatable #sarcasm #wei... https://vine.co/v/52ww2A3eDi7
WitzigJokes	Such a 'touching' story 😆😆 #hahahaha #lol #sarcasm #cheers https://twitter.com/WitzigJokes/status/810749088832557057/photo/1
amy_living	It's totally normal for me to be up at 4am thinking about the EC vote. #notreally #sarcasm #fuckmylife
wit_twitt	RT @MyWitsEndTweet: It's said that #sarcasm is the lowest form of #wit. To that I say "No, really? Hey, somebody give this person a #Nobel…
copperbottomus	RT @a_wrighton: Callon is back, #sarcasm intact. Check out the #Allegiance sample on #bookbuzzr #mustread #fantasy #dragon - https://t.co/F…
josephaw86	@josephaw86 Too bad it isn't true... #sarcasm
akrongarber	@HARRISFAULKNER U'll never have 2 ask UR hubby What's UR problem anymore U'll know @KatTimpf @EboniKWilliams @MeghanMcCain @cvpayne #sarcasm
DanielDickin	Is there a leave it option? Because the feds have quite the deficit to pay down #sarcasm #cdnpoli https://twitter.com/hscoffield/status/810839060801536000
daring2bking	I'm hoping this is #sarcasm because it ain't that stunning to me https://twitter.com/charlescwcooke/status/810918423681257474
LyndaE222	RT @DanielDickin: Is there a leave it option? Because the feds have quite the deficit to pay down #sarcasm #cdnpoli https://twitter.com/hscoffield/status/810839060801536000
JmActon85	Remember peace loving folk, think about yourself and feel good and all will be well. #sarcasm
karaalley_	I'm glad @CMTroilo is having a good day in Bonaire #sarcasm #jealous
LiberalArabian	RT @weddady: Even the Gipper?! shocking discovery: radicalized! #sarcasm https://twitter.com/weddady/status/810983448265576448/photo/1
WrestlingSHP	@adamamin But what about the environment? Too many blades of grass are being trampled! NOOOOOOO! #sarcasm
ScottSwezey	Good to know you can’t buy him because he’s rich! #sarcasm https://twitter.com/samsteinhp/status/811008866758561792
seirin85	@zizjag2 @chicagobulls yeah bro 😂 its #sarcasm hahaha.
ronindotca	RT @angyotensin: Thank god. I was so0o0o0o0o worried about this athlete's ~*future*~. The girl probz wore a short skirt. #sarcasm. https:…
exgag	This Day That Year. Birthday wishes :) #exgag #exgagtale #sarcasm #relatable #happybirthday #humour #writers… https://twitter.com/i/web/status/811058762052227072
theMFJohnson	Shocking. #sarcasm https://twitter.com/nbcnews/status/811015776517951488
TWHnewsCom	What? Is that even possible? 😮 #sarcasm https://twitter.com/HiddlesFashion/status/811062518273736704
koreanangpusa	I actually need both 😂 LOL #i #need #a #huge #amount #of #hug #and #money 😂 #sarcasm #lit @ Five… https://www.instagram.com/p/BOOqQqcBhLw/
cbzoomer	Maybe they are drone subs #sarcasm but you are right the fight has been on or above ground https://twitter.com/tassiedevil/status/811102722787143680
lVIBESI	RT @schutzhund13: Does this mean @HillaryClinton LOST the election twice? #askingforafriend #sarcasm 101 #ElectoralCollege 🇺🇸
Zappelbree	@Kristallklart yeh they are done. Finito. #sarcasm
SalehAlSaati	@ThedayNage @Ali_Fareed wow!! congrats bro. Didn't expect u to win and get free stuff!! #sarcasm
exgag	Welcome to the Meme World. #exgag #exgagtales #exgagjoke #sarcasm #meme #relatable #scribbletale #gagoftheday… https://twitter.com/i/web/status/811149497564807168
BT77W	@batemansworld yep my heart hurt too much being this far away from you #sarcasm
sarcarm4rral	RT @exgag: Welcome to the Meme World. #exgag #exgagtales #exgagjoke #sarcasm #meme #relatable #scribbletale #gagoftheday…
drc721	@_Philly_Talk those are the best #sarcasm take a breathe. Be yourself and accept if it doesnt work out. Better now then later. Njoy the exp.
BrianBeddow	Weird #sarcasm https://twitter.com/thehill/status/811295873254719489
uwont_findaleak	RT @britishbullybee: Who would have thought that so many skilled doctors and engineers could also be such great lorry drivers? #sarcasm
MRWHOKIP	RT @britishbullybee: Who would have thought that so many skilled doctors and engineers could also be such great lorry drivers? #sarcasm
jeremyduthie	RT @britishbullybee: Who would have thought that so many skilled doctors and engineers could also be such great lorry drivers? #sarcasm
parableINSIGHT	RT @RealJoeNamath: Well, we can look forward to next week in New England #sarcasm
The_EarlGrey	@britishbullybee using '#sarcasm' doesn't excuse your xenophobic comments towards refugees
shittyinsults	There's just an ass and that's about you... #sarcasm #heartyou #shittyinsults
kayla_m_stone	RT @grace_morg12: So glad that I have so many people that want to hang out with me I can't decide who I want to hang out with. #sarcasm
aereichert	So nice to see commercial fiction represented. #sarcasm https://twitter.com/PublishersWkly/status/811362316713390080
jellydmags	it takes wits to pull that off so u're doing the right thing just retweeting it... #sarcasm 😏
KatieE0529	RT @schutzhund13: Does this mean @HillaryClinton LOST the election twice? #askingforafriend #sarcasm 101 #ElectoralCollege 🇺🇸
BrendanFuture	RT @mediablitz: @AP_Sports Yeah, those Trump Casinos all did so well, didn't they? #sarcasm
Magnolia_981	It J ust occurred to me that the year-in-review TV recaps are coming up...those will be fun this year... #sarcasm #dumpsterfire #suckit2016
iadriiel	RT @schutzhund13: Does this mean @HillaryClinton LOST the election twice? #askingforafriend #sarcasm 101 #ElectoralCollege 🇺🇸
Bakchodrani	"What you mean I can't turn myself in and get the money" #comedy #blogger #sarcasm #follow #LastMinuteDeals #SDLive… https://twitter.com/i/web/status/811505044646428672
FinancialUAE	Quite brilliant of the bank to send out the special offers for account holders for December on 21st of the month. Really useful. #sarcasm
bittubittu	After seeing this trend #IAmGreenArmy I really thought is it the Pakistani army who is trending this. ;) #sarcasm
SmokinJoesTruth	But hey, at least Trump isn't selling overnights in the Lincoln bedroom! #sarcasm http://fb.me/4FxpUN84z
irina_titica	RT @akdrave: And here are the "great" reasons why you should not give them the time off :)) (ATTN: #sarcasm ahead!) #sales #tips https://t…
JimZarroli	What does it say about Twitter that you need to hashtag #sarcasm cause so many people can't tell you're being sarcastic?
tress777	@PolitiBunny but it was a witch hunt on an innocent victim. Don't you know that #sarcasm
itsadindasacc	im sorry all my chinese friends we shall stop being friends genghis khan and you share the same ethnicity and he was evil #sarcasm
ericagoodell9	RT @schutzhund13: Does this mean @HillaryClinton LOST the election twice? #askingforafriend #sarcasm 101 #ElectoralCollege 🇺🇸
Ninapedia	I absolutely adore being screamed at for not being a team player when someone else was the person who went above the team/procedure #sarcasm
mikebabcock	Best part of my day #sarcasm #Windowshate https://www.instagram.com/p/BOSkvsEg4sd/
realmicajones	@jesskellynt @NewstalkFM right after the rollout of rural broadband so??? #sarcasm
TopShelfMoneyIG	I think that a white Gucci mane???🤔 #nochill #comedy #funnyaf #memes #meme #sarcasm #lol #rofl… https://www.instagram.com/p/BOSrHZjhhpO/
BySamanthaMarch	...without making any changes on our end. So weird how that works #sarcasm @VerizonSupport
lisapike12	RT @kimberly_linda: .@DrEricHoskins- pls use pictures with bright colors so my feeble MD brain can understand better 🙄 #sarcasm #ONpoli htt…
brienthess	@PrisonPlanet Another day, another bit of contrarian polemic, eh? #sarcasm
brienthess	It's important not to cut the wrong person with #sarcasm, or to cut for the wrong reasons. #humor #toolsnotweapons
arborliberatas	@PatriarchyBear @AdamBaldwin Yup, nailed it. #sarcasm.
RDuffett9	@dantencer you mean when a player goes all soccer player and grabs his face when he gets cross-checked is a dive?! #sarcasm
BigKev740	Here comes the flood of these kinds of vines. Team Small World Viners #MAGcon #sarcasm #dumbshits #ahhhellnah https://vine.co/v/M155FAZLxjK
uncanny_piscean	Silence doesn't attract people It makes them unfollow them #twitter Logic #sarcasm
poddie10	@iwoot_help Happy Xmas i hope you arent doing secret Santa in the office, no one will get there gifts #sarcasm
timeconsumerr	Hey, this guy did some shit in the past! That means it's okay for people to be racist towards him in the future! #sarcasm
Akbar2k7	When bae is mad you appreciate #hoes and drops the #sarcasm 😂 https://twitter.com/Akbar2k7/status/811914009150636033/photo/1
NinaDontPlayMtG	Yay, Flynn just keeps getting "better" : http://www.ninaillingworth.com/2016/11/23/info-meme-of-the-week-brotherhood-of-evil-mutants-pt-one-mike-flynn/ #sarcasm #hesawful @thecrisismag @mcurryfelidae07 https://twitter.com/NinaDontPlayMtG/status/811918922303807489/photo/1
TFSM_666	@BEASTMASTERTOAD @Sargon_of_Akkad @mrbenjaminlaw Was that #sarcasm? Reverse-colonisation is just colonisation.. isn't it?
DrMatthewTaylor	@MsShaynaT Less egregious bc he's white & plays for @dukebasketball ; #graysonallen is a Christian & a competitor #sarcasm
_jokersgal_	Thanks for letting you dog pee on my car, lady. It was missing a certain smell. #sarcasm #controlyouranimal #awayfrommycar
LetsBanEvrythng	@mattlasner With the way liberals act like animals, I have no idea why Trump won #sarcasm
weddady	Star Wars fans should be thrilled #sarcasm https://twitter.com/realDonaldTrump/status/811977223326625792
KhalilGaspard	Tell me ... it's being stupid a profession or are you just gifted? #sarcasm #jokes @kg_lv
PorLoVisto	RT @femmetac: And puts you on a hitlist...bc nothing says true love like having someone kill your "wife" #sarcasm #wtfyall 🤔 https://t.co/G…
kmc02	@cnnbrk So Have I !!! #CNN #fakenews #sarcasm #ChristmasAttackOrBust #FakeTerrorism #BerlinChristmasMarketAttack
conservamother	Wow! What a brave man, picking on a woman and her young children. #sarcasm Ivanka Trump, children harassed flight http://a.msn.com/01/en-us/BBxseBW?ocid=st
kroberts023	Figured out why Eli is playing so poorly. Ditch the mustache #sarcasm @Giants #TNF
JMcMil129	Lots of #sarcasm floating around #stlcards nation next I'll here MM will fix everything
Jain_nikhil10	proud moment for india #sarcasm http://fb.me/2IHlmSknc
alissasyamira	RT @medschooladvice: I use the Kreb cycle regularly in my practice. Thank you biochem. Thank you. #sarcasm
jasmintajudin	RT @medschooladvice: I use the Kreb cycle regularly in my practice. Thank you biochem. Thank you. #sarcasm
rusyfns	RT @medschooladvice: I use the Kreb cycle regularly in my practice. Thank you biochem. Thank you. #sarcasm
nabil_hasri	RT @medschooladvice: I use the Kreb cycle regularly in my practice. Thank you biochem. Thank you. #sarcasm
thebenda	RT @JohnWren1950: .@phileevo @LyleShelton Well everybody knows that Toyota utes are the IS vehicle of choice. It's a clear link. #sarcasm #…
D4vC4m	@VirginTrains #1stclass experience NOT #nochef last time I took 1stclass same dam thing today #fail LonEuston to Manchester loveit #sarcasm
chrstymarie	I wish you both joy and happiness and above all this I wish you love. Stay strong to the new couples! #sarcasm
LuvBeingChintan	RT @uncanny_piscean: Some say #silence is #Golden But I say #silence is Losing followers #sarcasm
LadyBernadetteR	RT @marijuanaradio: The DEA hurt people? No! Never! What? #sarcasm http://www.cheatsheet.com/culture/reasons-the-dea-marijuana-ruling-is-absurd-and-indefensible.html/?ref=YF&yptr=yahoo
meanlin1	Guess he wasn't invited to the carefully staffed & intense discussions leading to all of #Trump's tweets. #sarcasm @thedissent @20committee
PereraWorld	#lol #funny #comedy #sarcasm you: how r u me: bad. you? you: also bad me: nice
PlanlosHarmlos	@GreekAnalyst Sometimes it is a hard Job. #sarcasm
DryerDesigns	Whatever You Do, Always Give 100%. Unless You're Donating Blood. http://www.zazzle.com/whatever_you_do_always_give_100_napkin-256353853038669313 #sarcasm
Marth27	What a great way to bring the country together. #sarcasm #PEOTUSfail https://twitter.com/realdonaldtrump/status/812450976670121985
PereraWorld	#lol #funny #comedy #sarcasm Look how happy dad is https://twitter.com/ThatsSarcasm/status/812500583982764032/photo/1
braeunfiltered	Hey @Sportsnet, I'm not sure if this is Matthews' first game "home". Is it? #sarcasm #MoveOn #NewStorylinePlease #Hockey
karimkadir22	RT @twitacc1000: Big thank you to Turkey and the corrupt Arab regimes for all the backup you are giving sunnis. #sarcasm https://t.co/knd0q…
esthy09	Watching #rupauldragrace I like when they're asked who should not be there they mention the person they don't like... what shock #sarcasm
BrodieBelcher	So glad I waited until tonight to wrap every present I bought 😅 #sarcasm
exgag	Gag Of The Day. #exgag #exgagtales #exgagjoke #sarcasm #exgagvideo #relatable #scribbletale #gagoftheday #humour… https://twitter.com/i/web/status/812557227215245313
BristolDolt	@ChrisRenwick @SarahRoseCrook I might if I haven't sold them all for medical experiments by then... #sarcasm
MichaelEssex73	So true! 😂#humour #funny #fun #lol #hilarious #laugh #sarcasm #insults @ Broxbourne https://www.instagram.com/p/BOZaGbtA_AH/
theBinkdeadpool	I love how much my boss says I do a good job. #sarcasm
Xerpaderp	Working 🎄 on 🎄Christmas 🎄 Eve 🎄is 🎄 just 🎄 the 🎄 best 🎄 thing 🎄 ever 🎄 #sarcasm 🎄
5MinuteBI	Just to thank the oil companies for their gift this year #sarcasm .I filled up for 99 cents a… https://www.instagram.com/p/BOaQsjNBtqN/
PigskinJaguar	Whoa whoa Marrone, we are a run first team..... What are you thinking.... #Jaguars #sarcasm
wit_twitt	It's said that #sarcasm is the lowest form of #wit. To that I say "No, really? Hey, somebody give this person a #Nobel #peace #prize!"
Break_Man	The #Bengals are imploding?! That never happens. #sarcasm
cacisa2j	What?! You mean they aren't building those island just to increase beach tourism? I'M SHOCKED! #sarcasm… https://twitter.com/i/web/status/812899710373609476
jdp4u	I think I am bipolar- I either hate you like your ex or like you like your next! #sarcasm
Coley4711	@wordpressdotcom did you really need to release an update on Christmas day!? thanks for creating loads of work for me guys! #sarcasm
exgag	Gag Of The Day. #exgag #exgagtales #exgagjoke #sarcasm #exgagvideo #relatable #scribbletale #gagoftheday #humour… https://twitter.com/i/web/status/812919653198610432
siddheshgarg	Merry Christmas is when public kisses are given shade! #misteltoe #sarcasm #abSIDisms
cshperspectives	RT @widdowquinn: @PlantEvolution @LovicLab I often find that threats and lack of trust inspire the best work #sarcasm
mishoo_aki	Just what it needed, this song, a dance make over. #totp #fastcar #sarcasm quoted @burgej
MrJustinGott	@screeninsight What's "Zootropolis"??? #sarcasm #American
VirginiajuldRut	RT @ann_dpk: What's your favorite memory from highschool? Me: Leaving highschool #sarcasm
