alllibertynews	RT @tomr373: @DgGage @alllibertynews @TheLibRepublic no way! @Salon would never do that. #sarcasm
toxic_tees	12 hrs left to grab one! https://teespring.com/if-i-m-being-sarcastic-please #teespringcampaigns #funny #tee #teespring #sarcasm #quoteshirt #attitudes #buynow
DakotasPapi	@zachkruse2 But, but, their even wearing the same uniforms! #sarcasm #GoPackGo #beatWASH
AlexGold	Oh. That's it? Let me know when he wins 1.3 Billion. #sarcasm https://twitter.com/abc/status/686235827597389825
Mistletoe_Rowan	The Liberals put Bill Blair in charge of legalizing pot! Dummies, its not like he advocated legalizing it his entire career. #sarcasm
shannon_madara	I got a brain freeze drinking my iced coffee while watching #SEAvsMIN, so I basically know how they feel right now. #sarcasm #ThatsTooCold
CactusJock	@amazingatheist Socialised healthcare is comparable to being enslaved by aliens! Fucking statists! #sarcasm
legrimm	@JonahHill : 100% sober. Nothing funnier than cutesy headgear. #sarcasm #GoldenGlobes
dodgingstones	RT @JohnRMoffitt: Sorry girls. People who know me, understand that #sarcasm is a special problem for me. I need practice. #JustSaying https…
csalfierce28	I can't wait to find out what group or person was offended tonight by whatever at the #GoldenGlobes #GoldenGlobes2016 #sarcasm
little_lauren1	RT @medschooladvice: I use the Kreb cycle regularly in my practice. Thank you biochem. Thank you. #sarcasm
NJMike319	RT @2AFight: Man, so glad for the hope & change #sarcasm [pic] #tcot #tgdn #PJNET #LNYHBT #ccot #RedNationRising #SGP https://t.co/zVCJr5pF…
andyeezy7	RT @medschooladvice: I use the Kreb cycle regularly in my practice. Thank you biochem. Thank you. #sarcasm
6Men1Eagle	Aaron Sorkin can write screenplays? Who knew. #GoldenGLobes #sarcasm
kelschestnut	I can't wait to wake up tomorrow at 6 am and get ready for school I'm so excited. #sarcasm
SarcasmAlert_	The Rock Driving http://sarcasmalert.com/the-rock-driving-7/?utm_source=ReviveOldPost&utm_medium=social&utm_campaign=ReviveOldPost #funny #sarcasm #funnynews
JessieColby_	There's nothing I love more than blasting rap music at midnight when I have an 8 am tomorrow. #collegelife #sarcasm
FrankieIsReal	@Meh_HereWeAre @Socalmama Renee I d0n't kn0w what u feel but it's im90rtant 2 9ay cl0se attenti0n t0 what he sings n0t what he says #sarcasm
TammyRe21153227	RT @JFRocks: #sarcasm -- it's good to see that even with the sad news of David Bowie's passing, the tweets of ass shots and popping pimples…
smythesupport	RT @JFRocks: #sarcasm -- it's good to see that even with the sad news of David Bowie's passing, the tweets of ass shots and popping pimples…
bigballsonchin	In the mornung 😁 #meme #joke #selfie #ugly #hillarious #funny #sarcasm #jaba #prank #picoftheday #photooftheday #be… http://twitter.com/bigballsonchin/status/686454765841215489/photo/1
Nuttystar83	The smell of wet dog combined with BO is just my favourite thing in the morning #sarcasm #badsmellsshouldbeillegal
TimothyCahalan	Wow, Ricky Gervais told bad jokes at the golden globe. I did not see that coming #sarcasm #RickyGervais
ahmedreplyplzz	RT @iamAhmadshahzad: Oh please i alrdy hv become a groom once.. Not anymore ;) dnt insist... #sarcasm http://twitter.com/iamAhmadshahzad/status/684457081877979137/photo/1
imaginif	In a year your coverage has actually got worse. Thanks for jumping on fixing that @verizon #sarcasm
LaMonicaBuzz	I wonder if Sean Penn will be able to snag an interview with Thomas Pynchon? #sarcasm #ElChapo
cascrawford	I am soooooooo popular with my kids. #momproblems #sarcasm
GBHthree	It makes me sad to know our franchise player, McDavid, is the slowest healing human in sports history. #sarcasm #heshealthy #theywontplayhim
SmarkNMark_PW	The Usos are crazy hot on the mic; they're here to save the segment! #WWE #RAW #sarcasm
GrouchyColitis	watching Biggest Looser & motivates me 2 buy the smaller bag of cheetos #sarcasm
LizAMair	...everyone loves Trump and it's all about immigration, nothing else. Sure, Ann. This has nothing to do w your book sales. Nothing. #sarcasm
TrisherV	Little known fact: Trudeau is the first Canadian Prime Minister to ever take a vacation. #sarcasm #getoverit #cdnpoli
CoachMLangley	@RyanKoenigsberg @JPWally85 sorry I missed the #sarcasm before #almostthere
dnwyourpity	RT @KGRojo88: Yay!!! Now we get to hear and read about how great the SEC is!! #sarcasm #NationalChampionship
dryxanne	The participants must've been faithful married people. Look at how they embrace contraception use. #sarcasm https://twitter.com/sillysampi/status/686706957361627137
hashtags1isi	Do it like it won't end up on #YouTube #sarcasm http://goo.gl/ASvV8P
Shaneym1974	@RealKenBruce I really love your radio programme #sarcasm
firstdraftnick	I haven't seen it on any social media - does anyone know how may days until end of semester? #sarcasm #idontcare
mshenton22	And @boylebags19 has joined us. Always brings life to to conversation #sarcasm http://twitter.com/mshenton22/status/686864444924760064/photo/1
carycoppola	I once shot an airball & my gma yelled "airball, airball!" I'm glad they r putting an end to that madness! #sarcasm http://mobile.onmilwaukee.com/sports/articles/wiaanewrulescheering.html
richieR_11	When a 30 min drive takes you over 2 hours... Thankyou snow and thank you canada #sarcasm
emiliohood	@GCChrisClark obviously they passed cause y'all didn't rank him higher!!! #sarcasm Y'all do a great job!!!
cadieness	@AndyBlizzard87 pah. Who needs warnings *eyeroll* #sarcasm
RacinJasun	@BlackBlueReview lmao...... i mean how dare you!!! This is black and blue review, not Green and blue review!! #sarcasm
PadresNoHitter	@LobShots the #sarcasm is so thick I can almost taste it
freezerchicken	@GSwaim The nice thing about BYU fans is none of us have ever misspoke! #sarcasm #nobigdeal
kevmalakshady	Absolutely love it when @RobbieSavage8 commentates! 🙄😒😣😭 #NEWMUN #sarcasm #shutthefuckup
21cat21cat21	Oh yay our school starts tomor #sarcasm back to a book of rules again http://twitter.com/21cat21cat21/status/687002701318717440/photo/1
ILikeRideBike	@kktv11news Wow, it's so great to be living in a fear-based economy. #sarcasm
TweetLeni	Market closes hire on day of State of the Union and oil at all time low in years. Shocker. #sarcasm
JokeUntranslatd	It's said that #sarcasm is the lowest form of #wit. To that I say "No, really? Hey, somebody give this person a #Nobel #peace #prize!"
dawgpoundtodd	@egoldie80 That's a dumb thing to say, you idiot #sarcasm
tadsbirch	Ha ha most important topic on the agenda,😳like there's no other issue of importance #sarcasm🤔 🙈 https://twitter.com/geordie_travels/status/687188705648316416
C6751T	@WPXIScott @WPXI I thought we were going to just skip winter this year. Wtf man... #sarcasm
jeremysecomb	My thoughts go out to the @Se_Railway drivers. They've got their work cut out for them today as the Sun is shining strong. #sarcasm
sharrydiva	Do I look like I care...yes?....Damn I need face sugery.#sarcasm
buchanigans3	@EITMonline Yeah Tyler, let's not let our kids face adversity in sports. That would just be too hard on their poor souls. #sarcasm
eyitschri	NEW POST! http://eyitschri.tumblr.com/post/137219396772/im-sarcastic #sarcastic #sarcasm #drewmonson #mytoecold @mytoecold #awkward #tumbr #blog #newblogger
renareads	I love how cute bookish T-shirts rarely accommodate big girl sizes. #sarcasm
KraftyWurker	India is such a wonderful place she wants the USA to be just like it. #sarcasm @MSNBC @realDonaldTrump
Gobberslob	@Spencer_Durrant @RobTmanJr Slow down there Cowboy. You're talking nonsense. #sarcasm
CWAL5H	Crazy the @nfl moved the @STLouisRams west to LA. That's farther away from London! #sarcasm
purupathak	Much positivity! #sarcasm https://twitter.com/arturpetrosyan/status/687321684450390016
EricPattarozzi	Another original idea from President Obama #sarcasm https://twitter.com/simas44/status/687349519193739264
jillfay	Wow, even after they broke that credible and completely accurate HGH story? #sarcasm https://twitter.com/nytimes/status/687350926928142337
mehrsays	RT @LaMonicaBuzz: Chipotle stock still higher while markets plunge. Guac and gold. The new safe havens. #sarcasm
AliciaNicole2	RT @brunogunn: My life. One Direction is not breaking up http://usat.ly/1UPvQdi #sarcasm @BrianRossAd
Horan_Hug_Dude	RT @brunogunn: My life. One Direction is not breaking up http://usat.ly/1UPvQdi #sarcasm @BrianRossAd
MykJam	Thanks for causing the traffic chaos today M56... top job #sarcasm #wilmslow @manairport
ScreenPrintinRT	RT @BogrotsBazaar: Apparel guaranteed to ward off gators *not actually guaranteed to ward off gators* #shirts #satire #sarcasm
shealvaa	RT @brunogunn: My life. One Direction is not breaking up http://usat.ly/1UPvQdi #sarcasm @BrianRossAd
JossOssim	I'm sure visitors will come-a-runnin if they know a free bag is what's waiting for them #sarcasm https://twitter.com/nickstewarting/status/687481476234014720
SadiZabala	If didn't win the jackpot, no one should win it's obvious I deserve it more than anyone #sarcasm #butsrsly
tadegroot	Thank you Twitter for this astute interpretation of my interests. #sarcasm http://twitter.com/tadegroot/status/687538447997784064/photo/1
dumbassgenius	Study: People over 65 have diminished ability to detect & understand #sarcasm. But don’t worry about it, Grandma – you’re so not clueless.
pedrolamas	@WithinRafael Really love that method name... #sarcasm
KerryLoCo	We did not win the Powerball. On to the next "get rich quick" scheme. Wish us luck! #justkidding #sarcasm
omissis	@eBay chat support is just fantastic #sarcasm
WinningTixCards	Never give up. #powerball #inspiration #sarcasm http://www.winningticketcards.com http://twitter.com/WinningTixCards/status/687614984889577472/photo/1
TheDonutShop	Found Donut photo (not mine) .. enjoy If you didn't know, now you do #healthyliving #donut #sarcasm #getagrip http://twitter.com/TheDonutShop/status/687619209195614208/photo/1
SqueakyZorro	Yes, see all hungry fed, thirsty given drink, homeless sheltered, naked clothed, refugees given sanctuary. #sarcasm https://twitter.com/huffingtonpost/status/687571680391225344
ZackDIJ_book	@HPotterLogic Because cancer laughs, at clowns, even kings cower. To death! Alone. 'Ere. @HaikuD2 #amwriting #horror #haiku #sarcasm #nwtp
kkaytthom	RT @brunogunn: My life. One Direction is not breaking up http://usat.ly/1UPvQdi #sarcasm @BrianRossAd
bigbrotherjake	I guess one nomination is better than none...#StraightOuttaCompton #sarcasm http://twitter.com/bigbrotherjake/status/687639534926839808/photo/1
afman3333	@MapleLeafs Cody Hodgson is available. His time as a reclamation project can't be over. #sarcasm
TannerBell1023	@TheyCalMeAliGee hope you don't get lost in our ever so big airport, you know because their is 1,000 terminals. #sarcasm
JrrizzoYT	Wait! Alan Rickman died?! 2016's starting out great #sarcasm
bexkollstedt	Noticing that the part of the hwy barrier you slammed your car into a year ago has finally fallen off the road... comforting 😳 #sarcasm
allisonpaige47	RT @brunogunn: My life. One Direction is not breaking up http://usat.ly/1UPvQdi #sarcasm @BrianRossAd
fanfare100	@theJBullfrog AFAIK, the only one that ships within the "land of Lady Liberty" is: https://news.bitcoin.com/shift-introduces-first-us-bitcoin-debit-card/?utm_source=dlvr.it&utm_medium=twitter Courtney,pls pardon my #sarcasm 😋
ipaulFFR	...at least poor #JenniferLawrence who never gets recognized finally got a nomination. #Oscars #sarcasm
GradyLocklear	@ArtbyAWOHS Oh, *now* the middle east is destabilized? #sarcasm
tyree1977	the gym is closed due to inclement weather. Man the luxuries of living 15 minutes from the Canadian border #sarcasm #pissed
AlfaProto	Yeah 22 mins from Yishun to Orchard MRT. #sarcasm @ Yishun MRT Station https://www.instagram.com/p/BAiaTjZMJL_/
jensan1332	I'm sure this dude goes around saying he's American everyday cuz u know that something u think about daily #sarcasm https://twitter.com/kisco75/status/687769160454029313
THill88	#IDidntWinPowerBallSoNow just gonna have to wait for the #GOP and the job creators to make it right for all of us #sarcasm
mist_writer_x	RT @JodiAdler: A very polite warning. #truth #sarcasm http://twitter.com/JodiAdler/status/687821553069772801/photo/1
johnhamlin	Oh sure, ask @ChrisChristie the question about South Carolina’s bridges, @MariaBartiromo. No bias there. #GOPDebate #sarcasm
tacofro77	Where is Kasich from? Is like he never mentions his home state ... #sarcasm
djhudspeth	I'm so glad Kasich told us his dad was a mailman, I must have missed that in the 1st five debates. #sarcasm #GOPDebate
Quoth_the_Maven	@utecentral I'm surprised more ppl didn't detect the #sarcasm
Trunist	A night of fantastic eye opening things happened! Great fun #sarcasm
iVikashMehta	Can Australia loose this match in Overconfidence? Because they have to get one less run than the last match. #IndvsAus #sarcasm #StarSports
JoeTheTerrorist	"Glad we're talking about the important issues of the evening" - Ted Cruz, on whether foreigners should become President of the USA #sarcasm
Rschooley	@teenagesleuth I real need to use #sarcasm more I guess.
liesl_williams	Cute how you declare your undying love to your partner on fb seeing as Whatsapp is soooooooo expensive #rollingeyes #sarcasm
CramersShirt	Well, we know everyone will want to buy the dip before a long weekend... #sarcasm
jb26354	Cruz MUST be evil. we all know New Yorkers are the nicest, most compassionate people on the planet #sarcasm
ashleylroy	So glad i didn't hear that all w465 lanes are closed at 86th st exit until i was almost to 86th street #sarcasm
criptogaming614	RT @wdswtsgd: At least she is consistent #sarcasm #untrustworthy #feelthebern #Bernie2016 #bernieforpresident https://twitter.com/BernieSanders/status/687366750933889024
punkinmuffin1	@ScoopTheBowler Sounds like a life altering issue #sarcasm
SCreativeAngel	New typography art I created today @society6 — http://bit.ly/1NbJL7U #artist #sarcastic #sarcasm #funny #quote http://twitter.com/SCreativeAngel/status/688064048353701888/video/1
ChuckWade	@DuffyOnWCMF seems totally legit. Give them what they need. #sarcasm
AffanOmer96	LOOOL! This is definitely a steal of a deal for the habs! #sarcasm https://twitter.com/tsnbobmckenzie/status/688080025619410945
Kevin_Fett	@ABC more terrorists returning to the front lines. Good job #sarcasm
laurieee212	I am obviously great at basketball 🏀 #sarcasm #whiteiverson https://vine.co/v/iOhrapQl2D1
soundBYTE_App	By two_tons_of_tone: #nochill #nochillbutton #instafunny #comedy #laughing #burn #sarcasm #funnypictures #meme #idg… http://twitter.com/soundBYTE_App/status/688124538454802432/photo/1
yourenotready	This could be prevented with more guns, obviously. #sarcasm #FuckTheNRA #ammosexuals https://twitter.com/HuffPostPol/status/688091035260588032
Beerakooties	#sarcasm makes me happy https://twitter.com/GillGarmesh/status/688153374210965504
_IamCarmeloAndy	RT @JohnnyACE562: I see LA can hardly contain its excitement for the @RamsNFL... #sarcasm {{-_-}}
TheTanChristmas	Yes, let's just be openly racist that's all. #sarcasm #DumpTheTrump #TrumpIsAChump #Truth #Election2016 https://twitter.com/realdonaldtrump/status/688190779773210626
GGPutri1530	@mystarmyangel coz Innisfree say tzuyu is NOT their endorser?? *some fans claimed their tzuyu/twice took endorsement from Yoona* #sarcasm 😜
sendthruhq	RT @MeharVik: Who says u have to do it in a day, u have 1000 years here. Take ur time! #entrepreneur #growthhacking #sarcasm
Devon_M_Wilson	@BillCoberly Defend the Space Racist? How dare you! #sarcasm
Jothipala_Bot	RT @IrfhanR: @sentoran well criticize away my buddy #srilanka is such a better place with a leader like him #sarcasm
PeteWillTweet	RT @SavemyNHS: The media trying to #smearthedocs too? No way, I'm shocked! #sarcasm #Isupportthestrike http://twitter.com/SavemyNHS/status/688083478018146304/photo/1
JaniceOwen	RT @badmoosekrat: 2 types of people. #justsaying #sarcasm #morons #enuffsaid http://twitter.com/badmoosekrat/status/688345649994055680/photo/1
BitchSlapDog	#Sex SEXXXtions NEW Adult Party Game, Available Via AMAZON: http://amzn.to/1JUxA0N #funny #humor #sarcasm http://twitter.com/BitchSlapDog/status/688361730448187392/photo/1
axelsegebrecht	should have gotten British passport whilst they still handed them out for free at Dover @marketing_much @adambanksdotcom #sarcasm
st8boy1	@NBCNews Lets take away their 2nd Amendment rights and all will be better. #sarcasm
SarcasmAlert_	Had A Bad Day? Console Yourself http://sarcasmalert.com/had-a-bad-day-console-yourself/?utm_source=ReviveOldPost&utm_medium=social&utm_campaign=ReviveOldPost #funny #sarcasm #funnynews
Edokuin	@bleedingcool As usual, Brevoort sounds magnanimous and gracious. #sarcasm
panimata	RT @BoredGamingYt: Hey everyone, will have the second video for today up shortly. I know, you're all waiting on bated breath #sarcasm #smal…
mattclen2	Andy Reid fully displaying his time management skills. #sarcasm #NFL
t4bz	Why did Andy Reid waste a time out there? Still 1:08 left. #sarcasm #chiefs
Geoffers84	Sooooo dirty of Gallagher #Habs #sarcasm
BMJwriter	A bold coach hiring by the #Titans #sarcasm http://twitter.com/BMJwriter/status/688539934605484033/photo/1
jenna1336	So you admit you can tear me down mentally?!?! That's cool..Such a good thing to be able to do to someone.. #sarcasm #wth #yoursonice #not
casamorgan	@ABC7News Oh well if Kerry said it then I definitely believe it...Champagne for all! #sarcasm
syndicatepoogie	@danrafaelespn what an amazing TKO #sarcasm
barrettjh	@RefereeJimD But did he have time to become a runner? #sarcasm
SardinePundit	RT @jensan1332: I guess Cruz should have ties to the mob like Trump #sarcasm https://twitter.com/heywalio21/status/688503139801153536
Kayy_004	I hope Oomf has a wonderful night. 😅👌🏻 #sarcasm
Feminismexposed	RT @CathyYoung63: Retweeting again with a #sarcasm explainer ;-) https://twitter.com/ProfessorF/status/688593017763041281
WatertribeTim	@PlaidHatJames Ugh, haven't heard that one before.... #sarcasm #playtestjokes
asboasim	@Saj_PakPassion u talking about team or afridi #sarcasm
EssexHomeBuying	RT @samangela_: Just thought id join in with the snowy pics. #essex #southcoast #sarcasm http://twitter.com/samangela_/status/688692416224882688/photo/1
CaroleTilson	RT @NorthSn: Just been sent this by a " friend " Really really made me laugh ;) #humour #friends #sarcasm http://twitter.com/NorthSn/status/688720424625123328/photo/1
iaindavid3	RT @SavemyNHS: The media trying to #smearthedocs too? No way, I'm shocked! #sarcasm #Isupportthestrike http://twitter.com/SavemyNHS/status/688083478018146304/photo/1
MyWitsEndTweet	It's said that #sarcasm is the lowest form of #wit. To that I say "No, really? Hey, somebody give this person a #Nobel #peace #prize!"
catherine_amayi	Things I would buy with the Eurobond #new #Blogpost #CatherinesWorld #sarcasm #Eurobond http://what-counts-in-catherine-world-today.over-blog.com/2016/01/things-i-would-buy-with-the-eurobond.html
A_R_Hey	Aunt Harriet fainted? Oh gosh, what a shock! #sarcasm #1960sBatman
chrissiegle	RT @bobpockrass: Fox will now go to live shots of ARCA testing at Daytona to try to add a little excitement for non-Panther fans. #sarcasm
Beazsioux	@kjrmitch That Bevell. What an offensive mastermind! #sarcasm #firebevell
datngu	-_- EP2 & the dads are comparing how big their daughters' breasts are & old men are peeking under skirts. Top notch anime #sarcasm #Shuffle
OneBadBusa	@shawnemerriman Comin from a POTUS that shut down Guantanamo Bay. How nice. What a great guy to help a millionaire's mom. #sarcasm
MalibuGifts	The Only Running I do Is LATE http://etsy.me/1DSYxx9 @Etsy #lol #fun #funny #sarcasm #late http://ow.ly/Xb8gZ
akfuzzydice	@mikandynothem I'm going to follow you and this tweet is the reason why! #sarcasm is the lowest form of witt (and it's the only one I know).
Sweetshelton	@huntyboy1966 @PatriciaHeaton I sense a mocking tone here #sarcasm #laugh
PaulConUK	Mignolet’s reactions were fantastic today, did so well to get out of the way for Rooney’s goal #sarcasm
TonySuncrusher	Don't know what to do! #hatelife #sarcasm
jmbeyond7	Such a classy woman #sarcasm https://twitter.com/centrictv/status/688858627495559168
vernsjournal	What a great nightmare after falling asleep at 2:30 am #sarcasm
xiimemancilla	A boyfriend who doesn't care about you is the best, yay! #boyfriendgoals #sarcasm
CharmingDiablo	Well, Lu was a telepath as well, he heard that thought and- "THATS BECAUSE YOURE THE SMARTEST TELEPATH THAT EVER LIVED!" #sarcasm 😂
FelBolanos	Bummer the #Seahawks lost. Somewhere in the world, an ex-boyfriend of mine is #whining. #sarcasm #lostart #hateexboyfriends
alonso_bern	Bummer the #Seahawks lost. Somewhere in the world, an ex-boyfriend of mine is #whining. #sarcasm #lostart #hateexboyfriends
SeanyPoison	Everyone on the 06:00 drogheda to dublin 101 trying to sleep really appreciates the driver blaring music #sarcasm http://twitter.com/SeanyPoison/status/688968599759917056/video/1
_rcalita	The #Subway guy put onions in my sandwich when I specifically asked him not to. Lovely. #sarcasm
beirut_life	josephkheirallah : "So can we turn left or what? #sign #roadsigns #road #lebanon #ironic #sarcasm" http://j.mp/1QhrWdX #beirut
SweetNSourKat	#sexiest thing on a man... his ability to put up with and dish out the #sarcasm.. that and a super #loveable #personality... and nice eyes 👀
UOryray	RT@Mwforhr:Gee, did any of the GOP candidates even show any respect for MLK? No? What a shock. #sarcasm #MLKDay2016 https://goo.gl/RkBMra
LibertyUSA1776	RT @LuM1996: Those poor Clintons. A Go Fund Me account could help #sarcasm #ORPUW #RebootLiberty @claydirtman @MikeRumbo66 https://t.co/B…
CPhillips_v2	It's a good thing these papers and DVD were safely packaged. #sarcasm http://twitter.com/CPhillips_v2/status/689110460625321984/photo/1
aftonfarm	@carasld We've gone up a whole degree in the last 5 minutes! We're at -14!!! Time to party! #sarcasm
jimmacjr1980	I wish someone in the Twitter world would announce who the #Eagles are hiring as HC #EaglesTalk #sarcasm
PUBLISIDE	@hollyrpeete @bi_politics Misplaced priorities again. Whooda thunk it from him … #sarcasm
Makoto1joG	Woo hoo! Post-presentation anxiety attack. BRING IT ON! I LOVE FEELING THIS WAY! #sarcasm To be fair, I received a compliment afterwards.
JohnRMoffitt	@CynthiaManson1 When Repubs say lower taxes for the rich & super increase in military & wars ... why aren't they forced to add #sarcasm ?
knb527	RT @MatthewSardo: So sad the Steelers lost! #sarcasm #NFLPlayoffs
IAndrewPhillips	RT @bryantabarr: It's always a good idea to make @StephenCurry30 mad. I've never her seem respond well to that. #sarcasm
NavinPurswani16	RT @bryantabarr: It's always a good idea to make @StephenCurry30 mad. I've never her seem respond well to that. #sarcasm
5SOSauces_	Best couple ever. They look so in love, it's just *sigh* magical. #sarcasm https://twitter.com/1DMetro/status/689057118922629120
SoCoLaura	To show your people's resiliency, who took a bad thing & made it liveable. Amirite? #sarcasm https://twitter.com/Karnythia/status/689256162110345216
BrunetteBelle89	My mood today just keeps getting better...#sarcasm
MicheleCorbat	@ugafrank @Ben_educating Ha! That IS cold. #sarcasm #COLchat
SoCoLaura	@RaniaKhalek Yeah, he was a big supporter of war, especially the Vietnam War. #sarcasm
DrPerfection	@WWE is so creative with names like #SocialOutcasts and #LeaugeOfNations so clever and awesome #sarcasm
Lastcldave	“@ABC: Gas price hits 47 cents a gallon in Michigan after price war: http://abcn.ws/1PmLKra http://twitter.com/ABC/status/689266626743656454/photo/1” I blame Obama #sarcasm
dsmkurt_	Wow. What a shock. #sarcasm https://twitter.com/WWEUniverse/status/689272784925503492
shaunduffy88	RT @israel_shield: The terrorist who murdered Dafna Meir has been caught. Guess what? He's a Muslim terrorist. I'm shocked! #sarcasm
nealjennings	RT @RosieBarton: Awww. Thanks @jennellard. How sweet. Good luck selling houses! #sarcasm
CDNJudeophile	RT @israel_shield: The terrorist who murdered Dafna Meir has been caught. Guess what? He's a Muslim terrorist. I'm shocked! #sarcasm
dikkii	Ah, yes. What easier way to filter out those filthy brown people than focusing on their inability to speak English? #sarcasm
EtsyWitticisms	Funny coffee mug, this has booze in it, coffee mug, novelty mug, gifts … http://tuppu.net/3d75a1c9 #sarcasm #BoozeMug http://twitter.com/EtsyWitticisms/status/689359904331677696/photo/1
eatontrifles	I'm so glad that all the money #Leeds council spent on fixing the Horsforth roundabout has worked #sarcasm #leedstravel
tanoxgarcia	Honored to have a heart broken by you. Lol #sarcasm
ricpussayshot	Andy Murray interviewed on Eurosport regarding his straight sets win; the joy just oozing out of him #sarcasm #miserabletwat #AusOpen2016
Clay_Freed60	Happy to be back at school #sarcasm
_FabulousityINC	Totally love being the newbie #sarcasm
mnkahn	NYSE advance-decline at 14. Some oversold bounce. #sarcasm
daknls2006	@jeff_gluck @USATODAYsports @KyleBusch how do you do that from the interwebs? #sarcasm
KristofferHowes	The snowplow went by this morning and dropped off a present in my driveway. #Canada #snowplow #sarcasm http://twitter.com/KristofferHowes/status/689486061983019009/photo/1
alexdolnack	so glad that new internet is working in the dorms wow #sarcasm http://twitter.com/alexdolnack/status/689501721966415873/photo/1
CleverYork	@SW_Trains then you randomly unterminate them, good job the stairs were too full to get down... #sarcasm
AaronSings	Planning weddings is so much fun. #sarcasm
TheEvilPro12	I am using word suggestions on my phone to write stuff #wordsugestionrules #sarcasm
natevegas	So proud of my state. #sarcasm > Nevada's New Solar Fees Have People Furious - Fortune http://for.tn/1V6cqkw
IanSkerrett	Nice to see the best of SV continue to work on things that matter #sarcasm https://twitter.com/TheNextWeb/status/689552270808203264
FS4_NHL	RT @kevindelury: Great, yet another 1994 Stanley Cup documentary by MSG Network. Can't wait. #sarcasm #ineedanothercup #oneinlast75years
MrBullJT	I'm waiting to hear that beautiful sound when a dentist scratches your teeth with a machine and makes you bleed #sarcasm #dentist #fml
OnlyCyclone	@NetherRealm I wonder what this could possibly mean #sarcasm
AndreaButera	@MikeMasco I knew they'd get snow, but oh, they are going to love this tweet. #sarcasm 😝 Especially since travel is involved! Thx!
farah_ayya	" Dear feelings, food is always better than people " #foodfestival #tb #sarcasm #comfortfood @… https://www.instagram.com/p/BAvYER0gMB6/
CoachRexT	Winters in #Alberta truly are terrible. #sarcasm #pierowayflyrods #pieroway #einarssonreels… https://www.instagram.com/p/BAviQhXyE3G/
koutropoulos	Woah! No way dude! #sarcasm --> Online Students Do Not Learn By Video Alone, Finds Study http://feedproxy.google.com/~r/OnlineLearningUpdate/~3/HUmA5Wkzhrs/
Jraymond19	@Sam_Vecenie getting a DWI and only having to sit out a first half. #sarcasm
insightz	I mean: @jimgeraghty @danpgabriel So what? In 2009, nobody KNEW about Obama's secret mass imports of live muslims #sarcasm
amc89avfc	@OllieAvfc123 @AVFCOfficial read it again Ollie, it's s joke mare #sarcasm
bradycarman12	RT @Official_Jcox33: Broncos want to fire up the greatest QB of all time before the AFC Championship game. #ThatsSmart #sarcasm #BradyGOAT
Sully_C101	@SEPTA it's cool. It's not like I have anything going important to do today. It's not like I have a job or anything. #septa #fail #sarcasm
BarryWoola1a	@ReformedBroker because I thought they told me to research the life cycle of the earthworm. I promise I will do better. #sarcasm
mobivangelist	For all those whites worried about the new swart gevaar that Mmusi is infiltrating into the DA… You still got the FF+. #justsayin #sarcasm
cam_berning_5	RT @lizzygardner_: probably shouldn't tweet about the delays... might offend someone.. #sarcasm
SarcasmAlert_	But Thats None Of My Business http://sarcasmalert.com/but-thats-none-of-my-business/?utm_source=ReviveOldPost&utm_medium=social&utm_campaign=ReviveOldPost #funny #sarcasm #funnynews
auntyaciduk	#NationalCheeseLoversDay its the only curls I do! 😂#fitness #workout #cheese #sarcasm http://twitter.com/auntyaciduk/status/689816370658349057/photo/1
_frankg37_	I can't wait to go over the syllabus today! #sarcasm
JordiMorris1	Shipping from China to Europe - cheapest Europe add customs tax Very liberal #sarcasm http://twitter.com/JordiMorris1/status/689854555199250433/photo/1
lonnykennett	@ezralevant @Real_Dr_Roy I guess that makes it ok then! #sarcasm
JT1718	RT @PrincessViccc: Just when you thought this country would be perfect with Trump...we now have Palin with him as well!! USA!!! #sarcasm #n…
MundaneHubris	There's nothing better than having to walk to work because your driveway is ice. #sarcasm #workflow #nashvillesnow http://twitter.com/MundaneHubris/status/689911550803582981/photo/1
sjfarias1596	And right off the bat I've got a quiz on Monday!!! Wooooo! #sarcasm
olivia_ns16	RT @iwearcoolsoxs: Your family is pretty great😂😂 #sarcasm https://twitter.com/olivia_ns16/status/689923805121130496
GrouchyColitis	was invited 2 Chipolte & I asked if a trip 2 hospital was included? living w #crohns #colitis #diabetes #IBS #IBD #thyroid #sarcasm #humor
Josee_Morenoo	Started with 6 guys and @tsouthwood98 and I were the only ones who finished the run, west hills is stacked #stateorbust #sarcasm
BeccaHolderxx	Sleeping well lasted long..😒 #sarcasm #cantsleep
MichJAndrews	@diggingellen That's reassuring. #sarcasm
brianlenehan2	RT @seasidersaz: @BlackpoolFC wow - just wow. 5 years ago we did double over Liverpool #sarcasm #NAPM
LoveStats	@NateSilver538 @chrislhayes @realDonaldTrump obviously that means you have the same values as him and want him for president. #sarcasm
LegitKuzco	@HsmScript @alexablanton wow that is some truly genius writing right there. #sarcasm
unionthug	Thank u @CPC_HQ. As always u were looking out 4 #canadians. #TPP #cdnpoli #sarcasm https://twitter.com/HuffPostCanada/status/689873034119942144
pathiyal	@danny_dum "am I getting corrupted while taking ur interview" #sarcasm #trp #disrespectful. wow! what limits
thelance13	@CarmichaelDave two fridges. Must be nice Scrooge McDuck #sarcasm
jangles	Researchers have developed an extremely effective "sarcasm detector” http://qz.com/598648 via @qz < algorithms read #sarcasm tweets
